n1,n2,inverse,time,
NS1,NS2,T,3,3
NS2,NS3,T,2,3
NS3,NS4,T,4,3
NS4,NS5,T,3,
NS5,NS7,T,5,
NS7,NS8,T,3,3
NS8,NS9,T,2,3
NS9,NS10,T,3,3
NS10,NS11,T,3,3
NS11,NS12,T,3,3
NS12,NS13,T,3,3
NS13,NS14,T,2,3
NS14,NS15,T,6,5
NS15,NS16,T,2,2
NS16,NS17,T,4,2
NS17,NS18,T,2,2
NS18,NS19,T,2,2
NS19,NS20,T,3,2
NS20,NS21,T,2,2
NS21,NS22,T,3,2
NS22,NS23,T,2,2
NS23,NS24,T,2,1
NS24,NS25,T,3,2
NS25,NS26,T,2,2
NS26,NS27,T,2,2
NS27,NS28,T,3,1
EW1,EW2,T,3,
EW2,EW3,T,3,
EW3,EW4,T,3,
EW4,EW5,T,3,
EW5,EW6,T,3,
EW6,EW7,T,3,
EW7,EW8,T,2,
EW8,EW9,T,2,
EW9,EW10,T,3,
EW10,EW11,T,2,
EW11,EW12,T,2,
EW12,EW13,T,3,
EW13,EW14,T,2,
EW14,EW15,T,3,
EW15,EW16,T,2,
EW16,EW17,T,3,
EW17,EW18,T,2,
EW18,EW19,T,3,
EW19,EW20,T,2,
EW20,EW21,T,2,
EW21,EW22,T,3,
EW22,EW23,T,3,
EW23,EW24,T,4,
EW24,EW25,T,3,
EW25,EW26,T,2,
EW26,EW27,T,3,
EW27,EW28,T,2,
EW28,EW29,T,4,
EW29,EW30,T,3,
EW30,EW31,T,3,
EW31,EW32,T,2,
EW32,EW33,T,2,
EW4,CG1,T,3,
CG1,CG2,T,4,
NE1,NE3,T,4,
NE3,NE4,T,1,
NE4,NE5,T,2,
NE5,NE6,T,4,
NE6,NE7,T,1,
NE7,NE8,T,1,
NE8,NE9,T,2,
NE9,NE10,T,3,
NE10,NE11,T,1,
NE11,NE12,T,2,
NE12,NE13,T,3,
NE13,NE14,T,2,
NE14,NE15,T,2,
NE15,NE16,T,2,
NE16,NE17,T,3,
CC1,CC2,T,2,
CC2,CC3,T,2,
CC3,CC4,T,2,
CC4,CC5,T,2,
CC5,CC6,T,2,
CC6,CC7,T,2,
CC7,CC8,T,2,
CC8,CC9,T,2,
CC9,CC10,T,2,
CC10,CC11,T,2,
CC11,CC12,T,2,
CC12,CC13,T,3,
CC13,CC14,T,2,
CC14,CC15,T,2,
CC15,CC16,T,3,
CC16,CC17,T,2,
CC17,CC19,T,5,
CC19,CC20,T,2,
CC20,CC21,T,3,
CC21,CC22,T,2,
CC22,CC23,T,2,
CC23,CC24,T,2,
CC24,CC25,T,2,
CC25,CC26,T,2,
CC26,CC27,T,2,
CC27,CC28,T,2,
CC28,CC29,T,2,
CC4,CE1,T,2,
CE1,CE2,T,2,
DT1,DT2,T,2,
DT2,DT3,T,2,
DT3,DT5,T,3,
DT5,DT6,T,2,
DT6,DT7,T,2,
DT7,DT8,T,2,
DT8,DT9,T,2,
DT9,DT10,T,2,
DT10,DT11,T,2,
DT11,DT12,T,3,
DT12,DT13,T,1,
DT13,DT14,T,2,
DT14,DT15,T,2,
DT15,DT16,T,2,
DT16,DT17,T,2,
DT17,DT18,T,1,
DT18,DT19,T,2,
DT19,DT20,T,2,
DT20,DT21,T,2,
DT21,DT22,T,1,
DT22,DT23,T,2,
DT23,DT24,T,2,
DT24,DT25,T,2,
DT25,DT26,T,2,
DT26,DT27,T,2,
DT27,DT28,T,2,
DT28,DT29,T,2,
DT29,DT30,T,2,
DT30,DT31,T,3,
DT31,DT32,T,2,
DT32,DT33,T,2,
DT33,DT34,T,3,
DT34,DT35,T,2,
BP1,BP2,T,1,
BP2,BP3,T,1,
BP3,BP4,T,2,
BP4,BP5,T,2,
BP5,BP6,T,2,
BP6,BP7,T,1,
BP7,BP8,T,2,
BP8,BP9,T,1,
BP9,BP10,T,2,
BP10,BP11,T,1,
BP11,BP12,T,2,
BP12,BP13,T,1,
BP13,BP6,T,2,
SE1,SE2,T,1,
SE2,SE3,T,1,
SE3,SE4,T,1,
SE4,SE5,T,2,
SE5,STC,T,3,
STC,SE1,T,2,
SW1,SW2,T,1,
SW2,SW3,T,1,
SW3,SW4,T,1,
SW4,SW5,T,1,
SW5,SW6,T,1,
SW6,SW7,T,1,
SW7,SW8,T,1,
SW8,STC,T,3,
STC,SW1,T,2,
PE1,PE2,T,1,
PE2,PE3,T,1,
PE3,PE4,T,1,
PE4,PE5,T,1,
PE5,PE6,T,1,
PE6,PE7,T,1,
PE7,PTC,T,2,
PTC,PE1,T,3,
PW1,PW2,T,1,
PW2,PW3,T,1,
PW3,PW4,T,1,
PW4,PW5,T,1,
PW5,PW6,T,1,
PW6,PW7,T,1,
PW7,PTC,T,3,
PTC,PW1,T,2,
TE1,TE2,T,2,
TE2,TE3,T,3,
TE3,TE4,T,5,
TE4,TE5,T,4,
TE5,TE6,T,2,
TE6,TE7,T,2,
TE7,TE8,T,3,
TE8,TE9,T,3,
TE9,TE11,T,4,
TE11,TE12,T,3,
TE12,TE13,T,2,
TE13,TE14,T,2,
TE14,TE15,T,2,
TE15,TE16,T,2,
TE16,TE17,T,2,
TE17,TE18,T,2,
TE18,TE19,T,2,
TE19,TE20,T,2,
TE20,TE22,T,3,
