,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,,,,,,,,,,,,,,,,,,,,
WEEKDAY,BP10,BP11,,139.0,329.0,440.0,293.0,234.0,206.0,193.0,178.0,174.0,148.0,122.0,139.0,174.0,196.0,159.0,105.0,91.0,82.0,29.0
WEEKDAY,BP10,BP9,,66.0,110.0,155.0,134.0,38.0,19.0,17.0,21.0,18.0,14.0,12.0,16.0,56.0,66.0,54.0,17.0,8.0,6.0,2.0
WEEKDAY,BP11,BP10,,36.0,66.0,101.0,101.0,29.0,15.0,13.0,16.0,13.0,9.0,9.0,13.0,42.0,48.0,36.0,13.0,5.0,3.0,1.0
WEEKDAY,BP11,BP12,,280.0,688.0,965.0,623.0,420.0,347.0,339.0,325.0,294.0,243.0,207.0,221.0,275.0,283.0,228.0,145.0,124.0,102.0,33.0
WEEKDAY,BP12,BP11,,23.0,50.0,95.0,120.0,65.0,52.0,60.0,81.0,91.0,87.0,103.0,145.0,305.0,404.0,321.0,209.0,183.0,128.0,35.0
WEEKDAY,BP12,BP13,,363.0,915.0,1382.0,897.0,551.0,436.0,436.0,429.0,378.0,317.0,265.0,296.0,388.0,373.0,304.0,186.0,137.0,118.0,33.0
WEEKDAY,BP13,BP12,,21.0,79.0,176.0,158.0,92.0,82.0,88.0,120.0,144.0,141.0,162.0,225.0,476.0,658.0,514.0,318.0,286.0,205.0,58.0
WEEKDAY,BP13,BP6,,428.0,1079.0,1577.0,1045.0,645.0,501.0,510.0,490.0,435.0,360.0,303.0,333.0,431.0,416.0,333.0,200.0,155.0,124.0,32.0
WEEKDAY,BP2,BP3,,129.0,371.0,924.0,887.0,530.0,408.0,428.0,548.0,583.0,570.0,656.0,803.0,1585.0,1822.0,1083.0,845.0,786.0,552.0,69.0
WEEKDAY,BP2,NS4,,463.0,1570.0,2396.0,1375.0,786.0,674.0,683.0,716.0,672.0,577.0,514.0,553.0,790.0,863.0,645.0,419.0,366.0,297.0,78.0
WEEKDAY,BP3,BP2,,427.0,1429.0,2086.0,1186.0,707.0,614.0,642.0,678.0,650.0,567.0,519.0,576.0,829.0,985.0,780.0,521.0,477.0,397.0,112.0
WEEKDAY,BP3,BP4,,176.0,457.0,1231.0,1131.0,631.0,468.0,473.0,576.0,585.0,553.0,607.0,746.0,1422.0,1599.0,961.0,726.0,671.0,466.0,65.0
WEEKDAY,BP4,BP3,,367.0,1233.0,1660.0,915.0,594.0,515.0,566.0,608.0,597.0,546.0,512.0,587.0,864.0,1095.0,912.0,611.0,571.0,481.0,133.0
WEEKDAY,BP4,BP5,,187.0,484.0,1291.0,1169.0,624.0,478.0,491.0,586.0,589.0,550.0,608.0,749.0,1410.0,1554.0,933.0,698.0,636.0,441.0,61.0
WEEKDAY,BP5,BP4,,344.0,1146.0,1571.0,906.0,573.0,487.0,530.0,580.0,578.0,524.0,494.0,560.0,832.0,1129.0,977.0,656.0,604.0,517.0,147.0
WEEKDAY,BP5,BP6,,197.0,510.0,1344.0,1216.0,665.0,522.0,537.0,631.0,630.0,576.0,632.0,775.0,1432.0,1582.0,970.0,712.0,635.0,448.0,66.0
WEEKDAY,BP6,BP13,,17.0,71.0,169.0,148.0,109.0,102.0,108.0,142.0,167.0,165.0,191.0,268.0,576.0,804.0,620.0,359.0,325.0,237.0,66.0
WEEKDAY,BP6,BP5,,335.0,1099.0,1491.0,882.0,565.0,490.0,539.0,581.0,595.0,545.0,513.0,573.0,840.0,1155.0,1015.0,686.0,630.0,540.0,149.0
WEEKDAY,BP6,BP7,,36.0,136.0,252.0,275.0,217.0,182.0,210.0,264.0,292.0,294.0,333.0,423.0,690.0,843.0,664.0,516.0,465.0,361.0,100.0
WEEKDAY,BP7,BP6,,217.0,442.0,625.0,392.0,221.0,176.0,175.0,179.0,170.0,151.0,126.0,128.0,210.0,255.0,186.0,119.0,73.0,57.0,9.0
WEEKDAY,BP7,BP8,,34.0,135.0,254.0,279.0,213.0,180.0,204.0,249.0,268.0,255.0,291.0,369.0,594.0,720.0,580.0,447.0,392.0,301.0,89.0
WEEKDAY,BP8,BP7,,166.0,329.0,437.0,278.0,191.0,157.0,158.0,165.0,154.0,137.0,111.0,109.0,187.0,225.0,169.0,107.0,66.0,50.0,9.0
WEEKDAY,BP8,BP9,,18.0,85.0,158.0,206.0,180.0,158.0,188.0,218.0,245.0,229.0,273.0,345.0,547.0,669.0,529.0,413.0,370.0,287.0,89.0
WEEKDAY,BP9,BP10,,15.0,65.0,109.0,157.0,156.0,144.0,159.0,168.0,207.0,184.0,201.0,253.0,401.0,491.0,391.0,307.0,270.0,205.0,66.0
WEEKDAY,BP9,BP8,,118.0,249.0,337.0,246.0,146.0,118.0,120.0,119.0,112.0,96.0,75.0,75.0,132.0,144.0,103.0,58.0,35.0,30.0,5.0
WEEKDAY,CC10,CC11,89.0,369.0,2111.0,4351.0,4101.0,2178.0,1612.0,1635.0,2095.0,2250.0,2053.0,2350.0,2838.0,5893.0,8380.0,4548.0,3208.0,3259.0,2609.0,922.0
WEEKDAY,CC10,DT25,12.0,410.0,1859.0,5285.0,6409.0,2928.0,1630.0,1392.0,1350.0,1254.0,1073.0,1030.0,1177.0,2197.0,3144.0,1588.0,880.0,693.0,530.0,206.0
WEEKDAY,CC10,DT27,299.0,208.0,1320.0,3188.0,2827.0,1128.0,780.0,863.0,1271.0,1481.0,1487.0,1783.0,2247.0,5082.0,7861.0,4542.0,3266.0,3405.0,2741.0,1253.0
WEEKDAY,CC10,EW8,10.0,689.0,2964.0,7105.0,8008.0,4174.0,2929.0,2744.0,3082.0,2788.0,2338.0,2302.0,2572.0,4329.0,6259.0,3154.0,1808.0,1686.0,1225.0,352.0
WEEKDAY,CC11,CC10,9.0,707.0,3027.0,7631.0,7832.0,3704.0,2334.0,2102.0,2464.0,2352.0,1927.0,1979.0,2214.0,4069.0,5666.0,3013.0,1777.0,1769.0,1317.0,379.0
WEEKDAY,CC11,CC12,70.0,323.0,2073.0,3852.0,2969.0,1792.0,1508.0,1679.0,2240.0,2265.0,2120.0,2584.0,3135.0,7224.0,10621.0,5542.0,3622.0,3374.0,2627.0,939.0
WEEKDAY,CC12,CC11,8.0,861.0,3650.0,9881.0,10449.0,4577.0,2597.0,2141.0,2349.0,2366.0,1888.0,1841.0,2058.0,3492.0,4477.0,2599.0,1578.0,1710.0,1284.0,333.0
WEEKDAY,CC12,NE12,63.0,323.0,2123.0,4057.0,3264.0,1951.0,1616.0,1788.0,2348.0,2346.0,2163.0,2644.0,3209.0,7296.0,10630.0,5520.0,3591.0,3309.0,2585.0,912.0
WEEKDAY,CC14,NE12,20.0,1900.0,6626.0,15463.0,17425.0,8542.0,5601.0,5059.0,5242.0,4939.0,4127.0,4261.0,4983.0,9285.0,10989.0,5843.0,3611.0,3489.0,2457.0,643.0
