DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
WEEKDAY,BP10,BP11,3431.0
WEEKDAY,BP10,BP9,829.0
WEEKDAY,BP11,BP10,569.0
WEEKDAY,BP11,BP12,6142.0
WEEKDAY,BP12,BP11,2557.0
WEEKDAY,BP12,BP13,8204.0
WEEKDAY,BP13,BP12,4003.0
WEEKDAY,BP13,BP6,9397.0
WEEKDAY,BP2,BP3,13579.0
WEEKDAY,BP2,NS4,14437.0
WEEKDAY,BP3,BP2,14182.0
WEEKDAY,BP3,BP4,13544.0
WEEKDAY,BP4,BP3,13367.0
WEEKDAY,BP4,BP5,13539.0
WEEKDAY,BP5,BP4,13155.0
WEEKDAY,BP5,BP6,14080.0
WEEKDAY,BP6,BP13,4644.0
WEEKDAY,BP6,BP5,13223.0
WEEKDAY,BP6,BP7,6553.0
WEEKDAY,BP7,BP6,3911.0
WEEKDAY,BP7,BP8,5854.0
WEEKDAY,BP8,BP7,3205.0
WEEKDAY,BP8,BP9,5207.0
WEEKDAY,BP9,BP10,3949.0
WEEKDAY,BP9,BP8,2318.0
WEEKDAY,CC10,CC11,56851.0
WEEKDAY,CC10,DT25,35047.0
WEEKDAY,CC10,DT27,47032.0
WEEKDAY,CC10,EW8,60518.0
WEEKDAY,CC11,CC10,56272.0
WEEKDAY,CC11,CC12,60559.0
WEEKDAY,CC12,CC11,60139.0
WEEKDAY,CC12,NE12,61738.0
WEEKDAY,CC14,NE12,120505.0
WEEKDAY,CC14,NS17,119663.0
WEEKDAY,CC16,CC17,48906.0
WEEKDAY,CC16,NS17,48001.0
WEEKDAY,CC17,CC16,46831.0
WEEKDAY,CC17,CC19,50340.0
WEEKDAY,CC19,CC17,48058.0
WEEKDAY,CC19,CC20,97745.0
WEEKDAY,CC19,DT10,95726.0
WEEKDAY,CC19,DT8,44947.0
WEEKDAY,CC2,CC3,5560.0
WEEKDAY,CC2,NS24,12024.0
WEEKDAY,CC20,CC19,98746.0
WEEKDAY,CC20,CC21,96836.0
WEEKDAY,CC21,CC20,97884.0
WEEKDAY,CC21,EW21,96449.0
WEEKDAY,CC23,CC24,31703.0
WEEKDAY,CC23,EW21,40831.0
WEEKDAY,CC24,CC23,30409.0
WEEKDAY,CC24,CC25,20683.0
WEEKDAY,CC25,CC24,18965.0
WEEKDAY,CC25,CC26,19276.0
WEEKDAY,CC26,CC25,17045.0
WEEKDAY,CC26,CC27,18714.0
WEEKDAY,CC27,CC26,16573.0
WEEKDAY,CC27,CC28,19623.0
WEEKDAY,CC28,CC27,17555.0
WEEKDAY,CC28,NE1,20787.0
