,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,,,,,,,,,,,,,,,,,,,,
WEEKDAY,BP10,BP11,,147.0,541.0,675.0,357.0,250.0,210.0,183.0,182.0,207.0,175.0,140.0,158.0,189.0,215.0,177.0,117.0,100.0,75.0,25.0
WEEKDAY,BP10,BP9,,73.0,214.0,241.0,151.0,39.0,15.0,15.0,18.0,20.0,15.0,14.0,14.0,69.0,78.0,62.0,21.0,4.0,6.0,2.0
WEEKDAY,BP11,BP10,,41.0,138.0,178.0,107.0,25.0,12.0,10.0,12.0,15.0,13.0,12.0,11.0,62.0,61.0,43.0,11.0,3.0,2.0,1.0
WEEKDAY,BP11,BP12,,308.0,1071.0,1311.0,732.0,439.0,344.0,287.0,289.0,305.0,252.0,218.0,229.0,291.0,307.0,231.0,147.0,122.0,92.0,26.0
WEEKDAY,BP12,BP11,,31.0,127.0,163.0,120.0,57.0,45.0,63.0,92.0,107.0,118.0,130.0,173.0,351.0,473.0,361.0,210.0,182.0,116.0,34.0
WEEKDAY,BP12,BP13,,398.0,1374.0,1769.0,1052.0,583.0,452.0,366.0,402.0,460.0,412.0,342.0,328.0,455.0,430.0,287.0,178.0,136.0,96.0,25.0
WEEKDAY,BP13,BP12,,26.0,284.0,380.0,156.0,75.0,64.0,95.0,136.0,168.0,178.0,203.0,268.0,543.0,741.0,590.0,315.0,273.0,180.0,54.0
WEEKDAY,BP13,BP6,,470.0,1596.0,1987.0,1215.0,673.0,507.0,417.0,448.0,496.0,442.0,369.0,355.0,498.0,472.0,315.0,189.0,151.0,100.0,26.0
WEEKDAY,BP2,BP3,,173.0,836.0,1697.0,1303.0,745.0,433.0,487.0,653.0,650.0,647.0,709.0,902.0,1684.0,2004.0,1124.0,817.0,744.0,479.0,65.0
WEEKDAY,BP2,NS4,,464.0,2064.0,2698.0,1471.0,804.0,640.0,685.0,764.0,681.0,659.0,744.0,897.0,1141.0,1008.0,723.0,435.0,377.0,278.0,69.0
WEEKDAY,BP3,BP2,,422.0,1905.0,2369.0,1269.0,715.0,594.0,648.0,747.0,673.0,682.0,777.0,935.0,1210.0,1186.0,904.0,557.0,500.0,377.0,100.0
WEEKDAY,BP3,BP4,,232.0,1057.0,2091.0,1573.0,855.0,479.0,514.0,666.0,614.0,595.0,636.0,813.0,1515.0,1748.0,982.0,693.0,632.0,400.0,63.0
WEEKDAY,BP4,BP3,,362.0,1586.0,1903.0,973.0,600.0,517.0,590.0,702.0,680.0,704.0,795.0,951.0,1262.0,1363.0,1101.0,666.0,601.0,462.0,122.0
WEEKDAY,BP4,BP5,,247.0,1074.0,1700.0,1241.0,649.0,449.0,539.0,636.0,600.0,597.0,705.0,900.0,1581.0,1699.0,959.0,670.0,620.0,385.0,60.0
WEEKDAY,BP5,BP4,,345.0,1470.0,1929.0,1120.0,657.0,499.0,457.0,590.0,631.0,613.0,588.0,634.0,966.0,1385.0,1164.0,695.0,616.0,487.0,133.0
WEEKDAY,BP5,BP6,,261.0,1180.0,1823.0,1296.0,692.0,487.0,581.0,685.0,639.0,633.0,748.0,934.0,1608.0,1733.0,989.0,684.0,621.0,392.0,64.0
WEEKDAY,BP6,BP13,,22.0,263.0,360.0,142.0,90.0,82.0,114.0,164.0,201.0,210.0,234.0,316.0,647.0,905.0,698.0,355.0,312.0,204.0,60.0
WEEKDAY,BP6,BP5,,338.0,1452.0,1847.0,1086.0,644.0,506.0,460.0,589.0,655.0,648.0,615.0,657.0,985.0,1430.0,1215.0,731.0,648.0,509.0,141.0
WEEKDAY,BP6,BP7,,50.0,418.0,385.0,281.0,204.0,187.0,219.0,319.0,338.0,359.0,411.0,501.0,798.0,1010.0,748.0,536.0,465.0,360.0,97.0
WEEKDAY,BP7,BP6,,222.0,614.0,746.0,441.0,212.0,165.0,152.0,179.0,220.0,222.0,168.0,148.0,249.0,308.0,196.0,112.0,86.0,48.0,13.0
WEEKDAY,BP7,BP8,,47.0,432.0,399.0,290.0,209.0,186.0,211.0,300.0,313.0,316.0,369.0,437.0,700.0,883.0,659.0,470.0,398.0,306.0,85.0
WEEKDAY,BP8,BP7,,166.0,468.0,548.0,320.0,188.0,156.0,145.0,162.0,206.0,206.0,154.0,133.0,227.0,284.0,182.0,103.0,78.0,44.0,12.0
WEEKDAY,BP8,BP9,,25.0,394.0,361.0,214.0,174.0,160.0,193.0,273.0,320.0,288.0,338.0,414.0,640.0,807.0,613.0,431.0,377.0,302.0,85.0
WEEKDAY,BP9,BP10,,19.0,180.0,218.0,163.0,158.0,160.0,181.0,211.0,247.0,245.0,255.0,309.0,472.0,590.0,456.0,327.0,283.0,225.0,64.0
WEEKDAY,BP9,BP8,,121.0,396.0,441.0,270.0,150.0,120.0,112.0,122.0,157.0,165.0,121.0,99.0,174.0,199.0,118.0,64.0,46.0,23.0,7.0
WEEKDAY,CC10,CC11,12.0,418.0,2873.0,4675.0,4242.0,2141.0,1532.0,1592.0,2024.0,2162.0,2113.0,2437.0,2880.0,5943.0,8482.0,4400.0,2987.0,2966.0,2254.0,775.0
WEEKDAY,CC10,DT25,2.0,426.0,2201.0,5908.0,6862.0,3114.0,1757.0,1501.0,1408.0,1303.0,1212.0,1145.0,1286.0,2371.0,3318.0,1666.0,931.0,671.0,510.0,189.0
WEEKDAY,CC10,DT27,54.0,208.0,1609.0,2971.0,2607.0,1072.0,745.0,869.0,1220.0,1367.0,1440.0,1813.0,2207.0,5148.0,8034.0,4447.0,2998.0,2882.0,2215.0,906.0
WEEKDAY,CC10,EW8,14.0,726.0,4097.0,7433.0,7623.0,3848.0,2489.0,2234.0,2595.0,2398.0,2122.0,2122.0,2345.0,4141.0,6029.0,3016.0,1723.0,1502.0,1080.0,291.0
WEEKDAY,CC11,CC10,6.0,790.0,4028.0,7881.0,7578.0,3487.0,2073.0,1817.0,2156.0,2136.0,1944.0,2001.0,2271.0,4170.0,5730.0,2958.0,1775.0,1615.0,1161.0,314.0
WEEKDAY,CC11,CC12,10.0,377.0,2862.0,4265.0,3203.0,1805.0,1475.0,1672.0,2194.0,2153.0,2164.0,2643.0,3172.0,7350.0,10731.0,5334.0,3369.0,3069.0,2265.0,786.0
WEEKDAY,CC12,CC11,5.0,937.0,4603.0,10157.0,10051.0,4323.0,2310.0,1831.0,2057.0,2203.0,1965.0,1917.0,2169.0,3645.0,4647.0,2598.0,1615.0,1603.0,1170.0,278.0
WEEKDAY,CC12,NE12,11.0,375.0,2843.0,4582.0,3532.0,1966.0,1629.0,1808.0,2274.0,2585.0,2592.0,2891.0,3367.0,7568.0,10806.0,5316.0,3348.0,3021.0,2242.0,770.0
WEEKDAY,CC14,NE12,13.0,1990.0,7835.0,16606.0,17690.0,8154.0,5035.0,4461.0,4665.0,4637.0,4390.0,4664.0,5461.0,10018.0,11881.0,6008.0,3708.0,3401.0,2250.0,518.0
