DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
WEEKDAY,BP10,BP11,3831.0
WEEKDAY,BP10,BP9,958.0
WEEKDAY,BP11,BP10,672.0
WEEKDAY,BP11,BP12,6605.0
WEEKDAY,BP12,BP11,2801.0
WEEKDAY,BP12,BP13,9036.0
WEEKDAY,BP13,BP12,4506.0
WEEKDAY,BP13,BP6,10134.0
WEEKDAY,BP2,BP3,15939.0
WEEKDAY,BP2,NS4,16357.0
WEEKDAY,BP3,BP2,16318.0
WEEKDAY,BP3,BP4,15867.0
WEEKDAY,BP4,BP3,15602.0
WEEKDAY,BP4,BP5,14650.0
WEEKDAY,BP5,BP4,14199.0
WEEKDAY,BP5,BP6,15316.0
WEEKDAY,BP6,BP13,5092.0
WEEKDAY,BP6,BP5,14339.0
WEEKDAY,BP6,BP7,7243.0
WEEKDAY,BP7,BP6,4202.0
WEEKDAY,BP7,BP8,6559.0
WEEKDAY,BP8,BP7,3485.0
WEEKDAY,BP8,BP9,5983.0
WEEKDAY,BP9,BP10,4427.0
WEEKDAY,BP9,BP8,2647.0
WEEKDAY,CC10,CC11,54695.0
WEEKDAY,CC10,DT25,33928.0
WEEKDAY,CC10,DT27,42450.0
WEEKDAY,CC10,EW8,52722.0
WEEKDAY,CC11,CC10,52832.0
WEEKDAY,CC11,CC12,58900.0
WEEKDAY,CC12,CC11,57197.0
WEEKDAY,CC12,NE12,61490.0
WEEKDAY,CC14,NE12,115149.0
WEEKDAY,CC14,NS17,115138.0
WEEKDAY,CC16,CC17,55282.0
WEEKDAY,CC16,NS17,55503.0
WEEKDAY,CC17,CC16,54167.0
WEEKDAY,CC17,CC19,56834.0
WEEKDAY,CC19,CC17,55501.0
WEEKDAY,CC19,CC20,99950.0
WEEKDAY,CC19,DT10,89622.0
WEEKDAY,CC19,DT8,46767.0
WEEKDAY,CC2,CC3,5987.0
WEEKDAY,CC2,NS24,8841.0
WEEKDAY,CC20,CC19,100818.0
WEEKDAY,CC20,CC21,98942.0
WEEKDAY,CC21,CC20,99803.0
WEEKDAY,CC21,EW21,98342.0
WEEKDAY,CC23,CC24,30516.0
WEEKDAY,CC23,EW21,40833.0
WEEKDAY,CC24,CC23,29790.0
WEEKDAY,CC24,CC25,17759.0
WEEKDAY,CC25,CC24,16995.0
WEEKDAY,CC25,CC26,15766.0
WEEKDAY,CC26,CC25,14552.0
WEEKDAY,CC26,CC27,14996.0
WEEKDAY,CC27,CC26,13907.0
WEEKDAY,CC27,CC28,15530.0
WEEKDAY,CC28,CC27,14556.0
WEEKDAY,CC28,NE1,16258.0
WEEKDAY,CC3,CC2,6376.0
WEEKDAY,CC3,CC4,4984.0
WEEKDAY,CC4,CC3,5132.0
WEEKDAY,CC4,CC5,9307.0
WEEKDAY,CC4,CE1,31750.0
WEEKDAY,CC4,EW12,37892.0
WEEKDAY,CC5,CC4,8613.0
WEEKDAY,CC5,CC6,7561.0
WEEKDAY,CC6,CC5,6983.0
WEEKDAY,CC6,CC7,7792.0
WEEKDAY,CC7,CC6,7500.0
WEEKDAY,CC7,CC8,9016.0
WEEKDAY,CC8,CC7,8816.0
WEEKDAY,CC8,EW8,13487.0
WEEKDAY,CE1,CC4,30172.0
WEEKDAY,CE1,DT17,23206.0
WEEKDAY,CE1,NS27,772.0
WEEKDAY,CG1,CG2,13061.0
WEEKDAY,CG1,DT34,10651.0
WEEKDAY,CG1,EW4,23707.0
WEEKDAY,CG2,CG1,14091.0
WEEKDAY,DT1,DT2,26888.0
WEEKDAY,DT10,CC19,85208.0
WEEKDAY,DT10,DT11,91978.0
WEEKDAY,DT11,DT10,86481.0
WEEKDAY,DT11,NE7,96049.0
WEEKDAY,DT13,EW12,97024.0
WEEKDAY,DT13,NE7,97181.0
WEEKDAY,DT17,CE1,21601.0
WEEKDAY,DT17,DT18,13688.0
WEEKDAY,DT18,DT17,12447.0
WEEKDAY,DT18,NE4,23374.0
WEEKDAY,DT2,DT1,26046.0
WEEKDAY,DT2,DT3,28884.0
WEEKDAY,DT20,DT21,24912.0
WEEKDAY,DT20,NE4,26161.0
WEEKDAY,DT21,DT20,25796.0
WEEKDAY,DT21,DT22,27375.0
WEEKDAY,DT22,DT21,28346.0
WEEKDAY,DT22,DT23,29602.0
WEEKDAY,DT23,DT22,30984.0
WEEKDAY,DT23,DT24,30924.0
WEEKDAY,DT24,DT23,32314.0
WEEKDAY,DT24,DT25,31911.0
WEEKDAY,DT25,CC10,32563.0
WEEKDAY,DT25,DT24,33102.0
WEEKDAY,DT27,CC10,43069.0
WEEKDAY,DT27,DT28,39333.0
WEEKDAY,DT28,DT27,39772.0
WEEKDAY,DT28,DT29,34994.0
WEEKDAY,DT29,DT28,34815.0
WEEKDAY,DT29,DT30,32844.0
WEEKDAY,DT3,DT2,27139.0
WEEKDAY,DT3,DT5,34403.0
WEEKDAY,DT30,DT29,32023.0
WEEKDAY,DT30,DT31,29315.0
WEEKDAY,DT31,DT30,28249.0
WEEKDAY,DT31,DT32,25661.0
WEEKDAY,DT32,DT31,25118.0
WEEKDAY,DT32,DT33,16062.0
WEEKDAY,DT33,DT32,16947.0
WEEKDAY,DT33,DT34,9885.0
WEEKDAY,DT34,CG1,11160.0
WEEKDAY,DT34,DT33,9756.0
WEEKDAY,DT5,DT3,31856.0
WEEKDAY,DT5,DT6,41385.0
WEEKDAY,DT6,DT5,38748.0
WEEKDAY,DT6,DT7,45902.0
WEEKDAY,DT7,DT6,42246.0
WEEKDAY,DT7,DT8,47472.0
WEEKDAY,DT8,CC19,49673.0
WEEKDAY,DT8,DT7,44888.0
WEEKDAY,EW1,EW2,28497.0
WEEKDAY,EW10,EW11,106902.0
WEEKDAY,EW10,EW9,106923.0
WEEKDAY,EW11,EW10,108398.0
WEEKDAY,EW11,EW12,111396.0
WEEKDAY,EW12,CC4,40688.0
WEEKDAY,EW12,DT13,93329.0
WEEKDAY,EW12,EW11,113065.0
WEEKDAY,EW12,NS25,46221.0
WEEKDAY,EW15,EW16,49477.0
WEEKDAY,EW15,NS26,66105.0
WEEKDAY,EW16,EW15,54150.0
WEEKDAY,EW16,EW17,64624.0
WEEKDAY,EW16,NE1,34294.0
WEEKDAY,EW16,NE4,59735.0
WEEKDAY,EW17,EW16,66999.0
WEEKDAY,EW17,EW18,59766.0
WEEKDAY,EW18,EW17,63174.0
WEEKDAY,EW18,EW19,59318.0
WEEKDAY,EW19,EW18,63118.0
WEEKDAY,EW19,EW20,61049.0
WEEKDAY,EW2,EW1,27128.0
WEEKDAY,EW2,EW3,45024.0
WEEKDAY,EW20,EW19,63761.0
WEEKDAY,EW20,EW21,64267.0
WEEKDAY,EW21,CC21,99900.0
WEEKDAY,EW21,CC23,41200.0
WEEKDAY,EW21,EW20,66352.0
WEEKDAY,EW21,EW22,141008.0
WEEKDAY,EW22,EW21,143290.0
WEEKDAY,EW22,EW23,140619.0
WEEKDAY,EW23,EW22,142795.0
WEEKDAY,EW23,NS1,138142.0
WEEKDAY,EW25,EW26,95776.0
WEEKDAY,EW25,NS1,105298.0
WEEKDAY,EW26,EW25,101371.0
WEEKDAY,EW26,EW27,80931.0
WEEKDAY,EW27,EW26,82555.0
WEEKDAY,EW27,EW28,44090.0
WEEKDAY,EW28,EW27,52346.0
WEEKDAY,EW28,EW29,27958.0
WEEKDAY,EW29,EW28,28935.0
WEEKDAY,EW29,EW30,12499.0
WEEKDAY,EW3,EW2,44546.0
WEEKDAY,EW3,EW4,52194.0
WEEKDAY,EW30,EW29,13707.0
WEEKDAY,EW30,EW31,9628.0
WEEKDAY,EW31,EW30,10372.0
WEEKDAY,EW31,EW32,6623.0
WEEKDAY,EW32,EW31,6622.0
WEEKDAY,EW32,EW33,3123.0
WEEKDAY,EW33,EW32,3036.0
WEEKDAY,EW4,CG1,22530.0
WEEKDAY,EW4,EW3,51927.0
WEEKDAY,EW4,EW5,79567.0
WEEKDAY,EW5,EW4,76508.0
WEEKDAY,EW5,EW6,95003.0
WEEKDAY,EW6,EW5,91595.0
WEEKDAY,EW6,EW7,98658.0
WEEKDAY,EW7,EW6,97084.0
WEEKDAY,EW7,EW8,103670.0
WEEKDAY,EW8,CC10,54472.0
WEEKDAY,EW8,CC8,12214.0
WEEKDAY,EW8,EW7,104279.0
WEEKDAY,EW8,EW9,102853.0
WEEKDAY,EW9,EW10,105535.0
WEEKDAY,EW9,EW8,104799.0
WEEKDAY,NE1,CC28,15472.0
WEEKDAY,NE1,EW16,34955.0
WEEKDAY,NE10,NE11,130533.0
WEEKDAY,NE10,NE9,134532.0
WEEKDAY,NE11,NE10,134822.0
WEEKDAY,NE11,NE12,131029.0
WEEKDAY,NE12,CC12,58760.0
WEEKDAY,NE12,CC14,115406.0
WEEKDAY,NE12,NE11,134847.0
WEEKDAY,NE12,NE13,111495.0
WEEKDAY,NE13,NE12,114684.0
WEEKDAY,NE13,NE14,103311.0
WEEKDAY,NE14,NE13,106774.0
WEEKDAY,NE14,NE15,87124.0
WEEKDAY,NE15,NE14,89381.0
WEEKDAY,NE15,NE16,77583.0
WEEKDAY,NE16,NE15,78750.0
WEEKDAY,NE16,NE17,42608.0
WEEKDAY,NE16,SE1,8811.0
WEEKDAY,NE16,SE5,4239.0
WEEKDAY,NE16,SW1,5235.0
WEEKDAY,NE16,SW8,9230.0
WEEKDAY,NE17,NE16,43591.0
WEEKDAY,NE17,PE1,9186.0
WEEKDAY,NE17,PE7,9902.0
WEEKDAY,NE17,PW1,1228.0
WEEKDAY,NE17,PW7,4151.0
WEEKDAY,NE4,DT18,23142.0
WEEKDAY,NE4,DT20,25896.0
WEEKDAY,NE4,EW16,60355.0
WEEKDAY,NE4,NE5,64367.0
WEEKDAY,NE5,NE4,64226.0
WEEKDAY,NE5,NS24,69644.0
WEEKDAY,NE7,DT11,91351.0
WEEKDAY,NE7,DT13,101293.0
WEEKDAY,NE7,NE8,135006.0
WEEKDAY,NE7,NS24,140033.0
WEEKDAY,NE8,NE7,139186.0
WEEKDAY,NE8,NE9,131271.0
WEEKDAY,NE9,NE10,130501.0
WEEKDAY,NE9,NE8,137538.0
WEEKDAY,NS1,EW23,141547.0
WEEKDAY,NS1,EW25,98311.0
WEEKDAY,NS1,NS2,104104.0
WEEKDAY,NS10,NS11,81140.0
WEEKDAY,NS10,NS9,76472.0
WEEKDAY,NS11,NS10,80364.0
WEEKDAY,NS11,NS12,89280.0
WEEKDAY,NS12,NS11,88605.0
WEEKDAY,NS12,NS13,89280.0
WEEKDAY,NS13,NS12,88605.0
WEEKDAY,NS13,NS14,101365.0
WEEKDAY,NS14,NS13,103225.0
WEEKDAY,NS14,NS15,111580.0
WEEKDAY,NS15,NS14,109612.0
WEEKDAY,NS15,NS16,116327.0
WEEKDAY,NS16,NS15,112593.0
WEEKDAY,NS16,NS17,130797.0
WEEKDAY,NS17,CC14,114268.0
WEEKDAY,NS17,CC16,56373.0
WEEKDAY,NS17,NS16,130820.0
WEEKDAY,NS17,NS18,71890.0
WEEKDAY,NS18,NS17,69645.0
WEEKDAY,NS18,NS19,71664.0
WEEKDAY,NS19,NS18,67858.0
WEEKDAY,NS19,NS20,69225.0
WEEKDAY,NS2,NS1,104730.0
WEEKDAY,NS2,NS3,97000.0
WEEKDAY,NS20,NS19,67114.0
WEEKDAY,NS20,NS21,57914.0
WEEKDAY,NS21,NS20,55603.0
WEEKDAY,NS21,NS22,46545.0
WEEKDAY,NS22,NS21,45346.0
WEEKDAY,NS22,NS23,45655.0
WEEKDAY,NS23,NS22,48046.0
WEEKDAY,NS23,NS24,49165.0
WEEKDAY,NS24,CC2,8894.0
WEEKDAY,NS24,NE5,70714.0
WEEKDAY,NS24,NE7,136489.0
WEEKDAY,NS24,NS23,53669.0
WEEKDAY,NS24,NS25,50185.0
WEEKDAY,NS25,EW12,48357.0
WEEKDAY,NS25,NS24,50827.0
WEEKDAY,NS25,NS26,86712.0
WEEKDAY,NS26,EW15,63184.0
WEEKDAY,NS26,NS25,90582.0
WEEKDAY,NS26,NS27,5983.0
WEEKDAY,NS27,CE1,801.0
WEEKDAY,NS27,NS26,6162.0
WEEKDAY,NS27,NS28,1231.0
WEEKDAY,NS28,NS27,1321.0
WEEKDAY,NS3,NS2,98658.0
WEEKDAY,NS3,NS4,89932.0
WEEKDAY,NS4,BP2,15121.0
WEEKDAY,NS4,NS3,90606.0
WEEKDAY,NS4,NS5,78565.0
WEEKDAY,NS5,NS4,81189.0
WEEKDAY,NS5,NS7,68094.0
WEEKDAY,NS7,NS5,69050.0
WEEKDAY,NS7,NS8,67523.0
WEEKDAY,NS8,NS7,67191.0
WEEKDAY,NS8,NS9,72773.0
WEEKDAY,NS9,NS10,70779.0
WEEKDAY,NS9,NS8,67242.0
WEEKDAY,PE1,NE17,9380.0
WEEKDAY,PE1,PE2,7605.0
WEEKDAY,PE2,PE1,7750.0
WEEKDAY,PE2,PE3,5150.0
WEEKDAY,PE3,PE2,4997.0
WEEKDAY,PE3,PE4,2107.0
WEEKDAY,PE4,PE3,2099.0
WEEKDAY,PE4,PE5,3023.0
WEEKDAY,PE5,PE4,2894.0
WEEKDAY,PE5,PE6,5930.0
WEEKDAY,PE6,PE5,5548.0
WEEKDAY,PE6,PE7,8447.0
WEEKDAY,PE7,NE17,10564.0
WEEKDAY,PE7,PE6,7914.0
WEEKDAY,PW1,NE17,1129.0
WEEKDAY,PW1,PW3,777.0
WEEKDAY,PW3,PW1,737.0
WEEKDAY,PW3,PW4,377.0
WEEKDAY,PW4,PW3,357.0
WEEKDAY,PW4,PW5,129.0
WEEKDAY,PW5,PW4,166.0
WEEKDAY,PW5,PW6,2711.0
WEEKDAY,PW6,PW5,3100.0
WEEKDAY,PW6,PW7,3427.0
WEEKDAY,PW7,NE17,3733.0
WEEKDAY,PW7,PW6,3695.0
WEEKDAY,SE1,NE16,9567.0
WEEKDAY,SE1,SE2,6226.0
WEEKDAY,SE2,SE1,6958.0
WEEKDAY,SE2,SE3,3087.0
WEEKDAY,SE3,SE2,3440.0
WEEKDAY,SE3,SE4,981.0
WEEKDAY,SE4,SE3,1156.0
WEEKDAY,SE4,SE5,2685.0
WEEKDAY,SE5,NE16,4169.0
WEEKDAY,SE5,SE4,2730.0
WEEKDAY,SW1,NE16,5559.0
WEEKDAY,SW1,SW2,4501.0
WEEKDAY,SW2,SW1,4917.0
WEEKDAY,SW2,SW3,3072.0
WEEKDAY,SW3,SW2,3229.0
WEEKDAY,SW3,SW4,2115.0
WEEKDAY,SW4,SW3,2161.0
WEEKDAY,SW4,SW5,1452.0
WEEKDAY,SW5,SW4,1527.0
WEEKDAY,SW5,SW6,5961.0
WEEKDAY,SW6,SW5,5428.0
WEEKDAY,SW6,SW7,8252.0
WEEKDAY,SW7,SW6,7535.0
WEEKDAY,SW7,SW8,9574.0
WEEKDAY,SW8,NE16,10203.0
WEEKDAY,SW8,SW7,8567.0
WEEKENDS/HOLIDAY,BP10,BP11,2788.0
WEEKENDS/HOLIDAY,BP10,BP9,205.0
WEEKENDS/HOLIDAY,BP11,BP10,156.0
WEEKENDS/HOLIDAY,BP11,BP12,4579.0
WEEKENDS/HOLIDAY,BP12,BP11,1607.0
WEEKENDS/HOLIDAY,BP12,BP13,5759.0
WEEKENDS/HOLIDAY,BP13,BP12,2400.0
WEEKENDS/HOLIDAY,BP13,BP6,6495.0
WEEKENDS/HOLIDAY,BP2,BP3,9134.0
WEEKENDS/HOLIDAY,BP2,NS4,9371.0
WEEKENDS/HOLIDAY,BP3,BP2,9377.0
WEEKENDS/HOLIDAY,BP3,BP4,9134.0
WEEKENDS/HOLIDAY,BP4,BP3,8894.0
WEEKENDS/HOLIDAY,BP4,BP5,9285.0
WEEKENDS/HOLIDAY,BP5,BP4,8935.0
WEEKENDS/HOLIDAY,BP5,BP6,9747.0
WEEKENDS/HOLIDAY,BP6,BP13,2752.0
WEEKENDS/HOLIDAY,BP6,BP5,9061.0
WEEKENDS/HOLIDAY,BP6,BP7,4978.0
WEEKENDS/HOLIDAY,BP7,BP6,2251.0
WEEKENDS/HOLIDAY,BP7,BP8,4576.0
WEEKENDS/HOLIDAY,BP8,BP7,2080.0
WEEKENDS/HOLIDAY,BP8,BP9,4072.0
WEEKENDS/HOLIDAY,BP9,BP10,3244.0
WEEKENDS/HOLIDAY,BP9,BP8,1461.0
WEEKENDS/HOLIDAY,CC10,CC11,35636.0
WEEKENDS/HOLIDAY,CC10,DT25,20384.0
WEEKENDS/HOLIDAY,CC10,DT27,24208.0
WEEKENDS/HOLIDAY,CC10,EW8,38328.0
WEEKENDS/HOLIDAY,CC11,CC10,34830.0
WEEKENDS/HOLIDAY,CC11,CC12,36971.0
WEEKENDS/HOLIDAY,CC12,CC11,35979.0
WEEKENDS/HOLIDAY,CC12,NE12,37996.0
WEEKENDS/HOLIDAY,CC14,NE12,67842.0
WEEKENDS/HOLIDAY,CC14,NS17,67162.0
WEEKENDS/HOLIDAY,CC16,CC17,25413.0
WEEKENDS/HOLIDAY,CC16,NS17,26212.0
WEEKENDS/HOLIDAY,CC17,CC16,24918.0
WEEKENDS/HOLIDAY,CC17,CC19,25970.0
WEEKENDS/HOLIDAY,CC19,CC17,25507.0
WEEKENDS/HOLIDAY,CC19,CC20,60786.0
WEEKENDS/HOLIDAY,CC19,DT10,66077.0
WEEKENDS/HOLIDAY,CC19,DT8,29144.0
WEEKENDS/HOLIDAY,CC2,CC3,5903.0
WEEKENDS/HOLIDAY,CC2,NS24,7259.0
WEEKENDS/HOLIDAY,CC20,CC19,61483.0
WEEKENDS/HOLIDAY,CC20,CC21,60165.0
WEEKENDS/HOLIDAY,CC21,CC20,60864.0
WEEKENDS/HOLIDAY,CC21,EW21,58840.0
WEEKENDS/HOLIDAY,CC23,CC24,11454.0
WEEKENDS/HOLIDAY,CC23,EW21,13379.0
WEEKENDS/HOLIDAY,CC24,CC23,11485.0
WEEKENDS/HOLIDAY,CC24,CC25,8719.0
WEEKENDS/HOLIDAY,CC25,CC24,8615.0
WEEKENDS/HOLIDAY,CC25,CC26,8114.0
WEEKENDS/HOLIDAY,CC26,CC25,7630.0
WEEKENDS/HOLIDAY,CC26,CC27,8076.0
WEEKENDS/HOLIDAY,CC27,CC26,7719.0
WEEKENDS/HOLIDAY,CC27,CC28,8030.0
WEEKENDS/HOLIDAY,CC28,CC27,7773.0
WEEKENDS/HOLIDAY,CC28,NE1,8779.0
WEEKENDS/HOLIDAY,CC3,CC2,6170.0
WEEKENDS/HOLIDAY,CC3,CC4,5160.0
WEEKENDS/HOLIDAY,CC4,CC3,5197.0
WEEKENDS/HOLIDAY,CC4,CC5,6834.0
WEEKENDS/HOLIDAY,CC4,CE1,21523.0
WEEKENDS/HOLIDAY,CC4,EW12,25558.0
WEEKENDS/HOLIDAY,CC5,CC4,6808.0
WEEKENDS/HOLIDAY,CC5,CC6,5626.0
WEEKENDS/HOLIDAY,CC6,CC5,5514.0
WEEKENDS/HOLIDAY,CC6,CC7,6792.0
