,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0
DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,,,,,,,,,,,,,,,,,,,,
WEEKDAY,BP10,BP11,,119.0,341.0,337.0,182.0,126.0,97.0,99.0,117.0,126.0,98.0,93.0,99.0,113.0,110.0,71.0,50.0,38.0,30.0,6.0
WEEKDAY,BP10,BP9,,56.0,122.0,133.0,77.0,35.0,9.0,9.0,7.0,10.0,10.0,8.0,7.0,43.0,37.0,24.0,6.0,2.0,2.0,
WEEKDAY,BP11,BP10,,31.0,81.0,100.0,65.0,21.0,6.0,6.0,5.0,8.0,9.0,5.0,5.0,33.0,26.0,15.0,1.0,,1.0,
WEEKDAY,BP11,BP12,,242.0,674.0,644.0,320.0,206.0,155.0,154.0,175.0,194.0,141.0,130.0,128.0,163.0,164.0,102.0,60.0,45.0,32.0,10.0
WEEKDAY,BP12,BP11,,22.0,87.0,107.0,91.0,44.0,30.0,34.0,57.0,74.0,75.0,86.0,111.0,213.0,228.0,139.0,92.0,63.0,36.0,8.0
WEEKDAY,BP12,BP13,,322.0,855.0,826.0,420.0,250.0,187.0,186.0,245.0,301.0,261.0,188.0,184.0,224.0,200.0,115.0,64.0,50.0,34.0,11.0
WEEKDAY,BP13,BP12,,19.0,185.0,217.0,117.0,58.0,41.0,53.0,83.0,105.0,110.0,126.0,168.0,329.0,353.0,223.0,139.0,87.0,53.0,14.0
WEEKDAY,BP13,DT1,,383.0,998.0,941.0,487.0,277.0,210.0,207.0,267.0,326.0,276.0,197.0,196.0,241.0,217.0,123.0,68.0,56.0,34.0,10.0
WEEKDAY,BP2,BP3,,251.0,793.0,1140.0,881.0,563.0,324.0,369.0,512.0,474.0,441.0,465.0,571.0,1075.0,1008.0,535.0,451.0,295.0,165.0,24.0
WEEKDAY,BP2,NS4,,442.0,1389.0,1308.0,621.0,401.0,355.0,454.0,573.0,523.0,528.0,619.0,654.0,870.0,726.0,436.0,296.0,247.0,159.0,37.0
WEEKDAY,BP3,BP2,,417.0,1302.0,1165.0,564.0,377.0,343.0,438.0,569.0,512.0,561.0,650.0,681.0,916.0,803.0,488.0,335.0,283.0,183.0,43.0
WEEKDAY,BP3,BP4,,293.0,918.0,1273.0,953.0,600.0,345.0,377.0,512.0,456.0,408.0,424.0,521.0,971.0,901.0,463.0,402.0,257.0,146.0,21.0
WEEKDAY,BP4,BP3,,364.0,1090.0,966.0,466.0,328.0,310.0,409.0,534.0,515.0,589.0,673.0,693.0,940.0,869.0,536.0,362.0,303.0,197.0,46.0
WEEKDAY,BP4,BP5,,307.0,938.0,1088.0,729.0,503.0,349.0,380.0,460.0,462.0,420.0,478.0,579.0,998.0,879.0,439.0,385.0,250.0,136.0,22.0
WEEKDAY,BP5,BP4,,344.0,1034.0,1017.0,573.0,364.0,277.0,304.0,420.0,471.0,532.0,523.0,532.0,822.0,897.0,566.0,377.0,308.0,212.0,48.0
WEEKDAY,BP5,DT1,,310.0,1005.0,1164.0,755.0,526.0,372.0,408.0,482.0,489.0,451.0,510.0,609.0,1021.0,915.0,465.0,396.0,256.0,140.0,25.0
WEEKDAY,BP7,BP8,,30.0,254.0,257.0,166.0,133.0,110.0,132.0,166.0,187.0,210.0,233.0,287.0,419.0,416.0,265.0,194.0,142.0,87.0,23.0
WEEKDAY,BP7,DT1,,185.0,369.0,378.0,185.0,108.0,80.0,72.0,102.0,102.0,146.0,111.0,74.0,116.0,113.0,77.0,42.0,19.0,13.0,
WEEKDAY,BP8,BP7,,137.0,280.0,271.0,145.0,95.0,76.0,68.0,92.0,94.0,138.0,102.0,68.0,111.0,101.0,70.0,40.0,18.0,13.0,
WEEKDAY,BP8,BP9,,14.0,244.0,241.0,138.0,111.0,98.0,121.0,152.0,187.0,185.0,221.0,266.0,381.0,391.0,246.0,180.0,131.0,80.0,20.0
