DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
WEEKDAY,BP10,BP11,2252.0
WEEKDAY,BP10,BP9,597.0
WEEKDAY,BP11,BP10,418.0
WEEKDAY,BP11,BP12,3739.0
WEEKDAY,BP12,BP11,1597.0
WEEKDAY,BP12,BP13,4923.0
WEEKDAY,BP13,BP12,2480.0
WEEKDAY,BP13,DT1,5514.0
WEEKDAY,BP2,BP3,10337.0
WEEKDAY,BP2,NS4,10638.0
WEEKDAY,BP3,BP2,10630.0
WEEKDAY,BP3,BP4,10241.0
WEEKDAY,BP4,BP3,10190.0
WEEKDAY,BP4,BP5,9802.0
WEEKDAY,BP5,BP4,9621.0
WEEKDAY,BP5,DT1,10299.0
WEEKDAY,BP7,BP8,3711.0
WEEKDAY,BP7,DT1,2292.0
WEEKDAY,BP8,BP7,1919.0
WEEKDAY,BP8,BP9,3407.0
WEEKDAY,BP9,BP10,2615.0
WEEKDAY,BP9,BP8,1491.0
WEEKDAY,CC10,CC11,20261.0
WEEKDAY,CC10,DT25,21290.0
WEEKDAY,CC10,DT27,31389.0
WEEKDAY,CC10,EW8,28772.0
WEEKDAY,CC11,CC10,21332.0
WEEKDAY,CC11,CC12,22111.0
WEEKDAY,CC12,CC11,23475.0
WEEKDAY,CC12,NE12,22884.0
WEEKDAY,CC14,NE12,27651.0
WEEKDAY,CC14,NS17,26991.0
WEEKDAY,CC16,CC17,19188.0
WEEKDAY,CC16,NS17,18267.0
WEEKDAY,CC17,CC16,17852.0
WEEKDAY,CC17,CC19,19858.0
WEEKDAY,CC19,CC17,18488.0
WEEKDAY,CC19,CC20,36717.0
WEEKDAY,CC19,DT10,33503.0
WEEKDAY,CC19,DT8,17914.0
WEEKDAY,CC2,CC3,1353.0
WEEKDAY,CC2,NS24,1870.0
WEEKDAY,CC20,CC19,36131.0
WEEKDAY,CC20,CC21,36436.0
WEEKDAY,CC21,CC20,35932.0
WEEKDAY,CC21,EW21,35954.0
WEEKDAY,CC23,CC24,11540.0
WEEKDAY,CC23,EW21,14061.0
WEEKDAY,CC24,CC23,11563.0
WEEKDAY,CC24,CC25,6399.0
WEEKDAY,CC25,CC24,6232.0
WEEKDAY,CC25,CC26,5258.0
WEEKDAY,CC26,CC25,5008.0
WEEKDAY,CC26,CC27,4643.0
WEEKDAY,CC27,CC26,4614.0
WEEKDAY,CC27,CC28,4562.0
WEEKDAY,CC28,CC27,4623.0
WEEKDAY,CC28,NE1,4866.0
WEEKDAY,CC3,CC2,1401.0
WEEKDAY,CC3,CC4,1069.0
WEEKDAY,CC4,CC3,1041.0
WEEKDAY,CC4,CC5,4829.0
WEEKDAY,CC4,CE1,5567.0
WEEKDAY,CC4,EW12,6230.0
WEEKDAY,CC5,CC4,4699.0
WEEKDAY,CC5,CC6,4533.0
WEEKDAY,CC6,CC5,4469.0
WEEKDAY,CC6,CC7,5053.0
WEEKDAY,CC7,CC6,5029.0
WEEKDAY,CC7,CC8,5732.0
WEEKDAY,CC8,CC7,5732.0
WEEKDAY,CC8,EW8,7038.0
WEEKDAY,CE1,CC4,5548.0
WEEKDAY,CE1,DT17,4057.0
WEEKDAY,CE1,NS27,307.0
WEEKDAY,CG1,CG2,2596.0
WEEKDAY,CG1,DT34,2919.0
WEEKDAY,CG1,EW4,4643.0
WEEKDAY,CG2,CG1,2695.0
WEEKDAY,DT1,BP13,2788.0
WEEKDAY,DT1,BP5,9759.0
WEEKDAY,DT1,BP7,4106.0
WEEKDAY,DT1,DT2,13111.0
WEEKDAY,DT10,CC19,32240.0
WEEKDAY,DT10,NS21,34239.0
WEEKDAY,DT13,EW12,31299.0
WEEKDAY,DT13,NE7,32008.0
WEEKDAY,DT17,CE1,3969.0
WEEKDAY,DT17,DT18,2438.0
WEEKDAY,DT18,DT17,2295.0
WEEKDAY,DT18,NE4,5115.0
WEEKDAY,DT2,DT1,13037.0
WEEKDAY,DT2,DT3,13561.0
WEEKDAY,DT20,DT21,17643.0
WEEKDAY,DT20,NE4,17390.0
WEEKDAY,DT21,DT20,17574.0
WEEKDAY,DT21,DT22,18612.0
WEEKDAY,DT22,DT21,18342.0
WEEKDAY,DT22,DT23,19549.0
WEEKDAY,DT23,DT22,19405.0
WEEKDAY,DT23,DT24,20229.0
WEEKDAY,DT24,DT23,20058.0
WEEKDAY,DT24,DT25,20899.0
WEEKDAY,DT25,CC10,21309.0
WEEKDAY,DT25,DT24,20737.0
WEEKDAY,DT27,CC10,30707.0
WEEKDAY,DT27,DT28,30470.0
WEEKDAY,DT28,DT27,29843.0
WEEKDAY,DT28,DT29,29010.0
WEEKDAY,DT29,DT28,28336.0
WEEKDAY,DT29,DT30,28337.0
WEEKDAY,DT3,DT2,13216.0
WEEKDAY,DT3,DT5,15337.0
WEEKDAY,DT30,DT29,27390.0
WEEKDAY,DT30,DT31,27026.0
WEEKDAY,DT31,DT30,26096.0
WEEKDAY,DT31,EW2,25749.0
WEEKDAY,DT33,DT34,3349.0
WEEKDAY,DT33,EW2,8765.0
WEEKDAY,DT34,CG1,3258.0
WEEKDAY,DT34,DT33,3131.0
WEEKDAY,DT5,DT3,14682.0
WEEKDAY,DT5,DT6,17039.0
WEEKDAY,DT6,DT5,16568.0
WEEKDAY,DT6,DT7,17665.0
WEEKDAY,DT7,DT6,17084.0
WEEKDAY,DT7,DT8,18015.0
WEEKDAY,DT8,CC19,18582.0
WEEKDAY,DT8,DT7,17490.0
WEEKDAY,EW1,EW2,12982.0
WEEKDAY,EW10,EW11,27821.0
WEEKDAY,EW10,EW9,27889.0
WEEKDAY,EW11,EW10,28059.0
WEEKDAY,EW11,EW12,30398.0
WEEKDAY,EW12,CC4,6425.0
