daytype,origin,dest,count
WEEKDAY,BP10,BP11,3867.8999999999987
WEEKDAY,BP10,BP9,1743.8999999999999
WEEKDAY,BP11,BP10,1205.4
WEEKDAY,BP11,BP12,6724.600000000001
WEEKDAY,BP12,BP11,3431.599999999998
WEEKDAY,BP12,BP13,9165.000000000013
WEEKDAY,BP13,BP12,5470.099999999997
WEEKDAY,BP13,BP6,10467.600000000008
WEEKDAY,BP2,BP3,16715.5
WEEKDAY,BP2,NS4,18032.399999999994
WEEKDAY,BP3,BP2,17570.199999999993
WEEKDAY,BP3,BP4,16388.2
WEEKDAY,BP4,BP3,16464.70000000004
WEEKDAY,BP4,BP5,15468.400000000043
WEEKDAY,BP5,BP4,15301.400000000045
WEEKDAY,BP5,BP6,16075.300000000045
WEEKDAY,BP6,BP13,6537.000000000001
WEEKDAY,BP6,BP5,15303.700000000039
WEEKDAY,BP6,BP7,7336.900000000014
WEEKDAY,BP7,BP6,5110.200000000004
WEEKDAY,BP7,BP8,6576.6
WEEKDAY,BP8,BP7,4149.199999999997
WEEKDAY,BP8,BP9,5885.400000000002
WEEKDAY,BP9,BP10,4374.3
WEEKDAY,BP9,BP8,3311.0999999999963
WEEKDAY,CC10,CC11,62401.69999999991
WEEKDAY,CC10,DT25,38766.09999999994
WEEKDAY,CC10,DT27,51861.899999999994
WEEKDAY,CC10,EW8,64606.99999999984
WEEKDAY,CC11,CC10,61280.99999999984
WEEKDAY,CC11,CC12,66434.49999999997
WEEKDAY,CC12,CC11,65644.99999999987
WEEKDAY,CC12,NE12,68432.29999999993
WEEKDAY,CC14,NE12,133699.00000000003
WEEKDAY,CC14,NS17,133452.3000000004
WEEKDAY,CC16,CC17,61396.89999999983
WEEKDAY,CC16,NS17,60687.80000000001
WEEKDAY,CC17,CC16,59224.40000000003
WEEKDAY,CC17,CC19,63135.399999999834
WEEKDAY,CC19,CC17,60726.40000000004
WEEKDAY,CC19,CC20,112279.49999999991
WEEKDAY,CC19,DT10,101465.2000000001
WEEKDAY,CC19,DT8,50536.599999999984
WEEKDAY,CC2,CC3,5799.2999999999965
WEEKDAY,CC2,NS24,12349.800000000012
WEEKDAY,CC20,CC19,113711.40000000008
WEEKDAY,CC20,CC21,111275.49999999988
WEEKDAY,CC21,CC20,112758.70000000006
WEEKDAY,CC21,EW21,110897.29999999992
WEEKDAY,CC23,CC24,36712.69999999998
WEEKDAY,CC23,EW21,48413.799999999916
WEEKDAY,CC24,CC23,35671.19999999999
WEEKDAY,CC24,CC25,22232.09999999999
WEEKDAY,CC25,CC24,20876.30000000003
WEEKDAY,CC25,CC26,20382.59999999999
WEEKDAY,CC26,CC25,18403.700000000015
WEEKDAY,CC26,CC27,19596.599999999995
WEEKDAY,CC27,CC26,17768.999999999993
WEEKDAY,CC27,CC28,20676.700000000004
WEEKDAY,CC28,CC27,18903.699999999983
WEEKDAY,CC28,NE1,21719.6
WEEKDAY,CC3,CC2,8793.0
WEEKDAY,CC3,CC4,4437.700000000001
WEEKDAY,CC4,CC3,7135.300000000001
WEEKDAY,CC4,CC5,12260.099999999993
WEEKDAY,CC4,CE1,50178.79999999997
WEEKDAY,CC4,EW12,50612.79999999997
WEEKDAY,CC5,CC4,11608.0
WEEKDAY,CC5,CC6,9840.099999999997
WEEKDAY,CC6,CC5,9456.100000000002
WEEKDAY,CC6,CC7,10085.2
WEEKDAY,CC7,CC6,9890.499999999998
WEEKDAY,CC7,CC8,10488.699999999993
WEEKDAY,CC8,CC7,10730.4
WEEKDAY,CC8,EW8,13015.2
WEEKDAY,CE1,CC4,45715.50000000003
WEEKDAY,CE1,DT17,35362.50000000003
WEEKDAY,CE1,NS27,4820.2
WEEKDAY,CG1,CG2,20032.399999999983
WEEKDAY,CG1,DT34,14064.699999999997
WEEKDAY,CG1,EW4,21909.90000000001
WEEKDAY,CG2,CG1,20673.9
WEEKDAY,DT1,DT2,27465.49999999999
WEEKDAY,DT10,CC19,95355.6000000001
WEEKDAY,DT10,DT11,104026.60000000011
WEEKDAY,DT11,DT10,97161.7000000001
WEEKDAY,DT11,NE7,108539.90000000008
WEEKDAY,DT13,EW12,121710.09999999998
WEEKDAY,DT13,NE7,115122.19999999997
WEEKDAY,DT17,CE1,32952.39999999999
WEEKDAY,DT17,DT18,23938.5
WEEKDAY,DT18,DT17,22181.300000000007
WEEKDAY,DT18,NE4,34848.6
WEEKDAY,DT2,DT1,26808.19999999999
WEEKDAY,DT2,DT3,29542.300000000003
WEEKDAY,DT20,DT21,30893.299999999977
WEEKDAY,DT20,NE4,31540.399999999958
WEEKDAY,DT21,DT20,31235.699999999964
WEEKDAY,DT21,DT22,33211.59999999999
WEEKDAY,DT22,DT21,33673.19999999997
WEEKDAY,DT22,DT23,35251.79999999996
WEEKDAY,DT23,DT22,36231.899999999936
WEEKDAY,DT23,DT24,36376.79999999996
WEEKDAY,DT24,DT23,37341.19999999992
WEEKDAY,DT24,DT25,37212.59999999998
WEEKDAY,DT25,CC10,37989.99999999998
WEEKDAY,DT25,DT24,37853.199999999924
WEEKDAY,DT27,CC10,59657.39999999997
WEEKDAY,DT27,DT28,48671.19999999998
WEEKDAY,DT28,DT27,56266.59999999999
WEEKDAY,DT28,DT29,43465.59999999999
WEEKDAY,DT29,DT28,50345.19999999999
WEEKDAY,DT29,DT30,40818.79999999997
WEEKDAY,DT3,DT2,28223.599999999995
WEEKDAY,DT3,DT5,35834.10000000002
WEEKDAY,DT30,DT29,46905.59999999996
WEEKDAY,DT30,DT31,36856.49999999998
WEEKDAY,DT31,DT30,42535.9
WEEKDAY,DT31,DT32,32606.2
WEEKDAY,DT32,DT31,38773.89999999997
WEEKDAY,DT32,DT33,22385.299999999996
WEEKDAY,DT33,DT32,30214.899999999976
WEEKDAY,DT33,DT34,10986.199999999995
WEEKDAY,DT34,CG1,8248.199999999999
WEEKDAY,DT34,DT33,17336.999999999978
WEEKDAY,DT5,DT3,33433.399999999965
WEEKDAY,DT5,DT6,43950.20000000001
WEEKDAY,DT6,DT5,41166.89999999992
WEEKDAY,DT6,DT7,49329.69999999999
WEEKDAY,DT7,DT6,45342.79999999995
WEEKDAY,DT7,DT8,51212.099999999984
WEEKDAY,DT8,CC19,53325.09999999998
WEEKDAY,DT8,DT7,48557.099999999955
WEEKDAY,EW1,EW2,31810.29999999999
WEEKDAY,EW10,EW11,131486.19999999995
WEEKDAY,EW10,EW9,129251.4000000001
WEEKDAY,EW11,EW10,131569.20000000016
WEEKDAY,EW11,EW12,137665.09999999995
WEEKDAY,EW12,CC4,59108.59999999998
WEEKDAY,EW12,DT13,111239.39999999997
WEEKDAY,EW12,EW11,138076.20000000007
WEEKDAY,EW12,NS25,56079.50000000005
WEEKDAY,EW15,EW16,60460.9
WEEKDAY,EW15,NS26,79812.20000000001
WEEKDAY,EW16,EW15,64904.29999999996
WEEKDAY,EW16,EW17,78754.70000000001
WEEKDAY,EW16,NE1,47394.7
WEEKDAY,EW16,NE4,79868.29999999994
WEEKDAY,EW17,EW16,83076.20000000003
WEEKDAY,EW17,EW18,72379.50000000001
WEEKDAY,EW18,EW17,77772.2
WEEKDAY,EW18,EW19,71077.40000000001
WEEKDAY,EW19,EW18,76916.80000000005
WEEKDAY,EW19,EW20,72396.09999999996
WEEKDAY,EW2,EW1,29696.499999999996
WEEKDAY,EW2,EW3,51044.399999999965
WEEKDAY,EW20,EW19,76885.00000000001
WEEKDAY,EW20,EW21,75420.90000000001
WEEKDAY,EW21,CC21,113116.7000000001
WEEKDAY,EW21,CC23,49049.19999999995
WEEKDAY,EW21,EW20,79248.50000000004
WEEKDAY,EW21,EW22,162911.2000000006
WEEKDAY,EW22,EW21,168324.20000000007
WEEKDAY,EW22,EW23,161792.80000000054
WEEKDAY,EW23,EW22,167426.60000000003
WEEKDAY,EW23,NS1,157943.70000000054
WEEKDAY,EW25,EW26,105270.39999999998
WEEKDAY,EW25,NS1,117284.10000000002
