ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
BP10,BP11,135
BP10,BP12,174
BP10,BP13,124
BP10,BP14,12
BP10,BP2,56
BP10,BP3,69
BP10,BP4,78
BP10,BP5,151
BP10,BP6,1348
BP10,BP7,167
BP10,BP8,540
BP10,BP9,286
BP10,CC1-NE6-NS24,0
BP10,CC10,0
BP10,CC11,0
BP10,CC12,0
BP10,CC16,0
BP10,CC17,0
BP10,CC19,0
BP10,CC2,0
BP10,CC20,0
BP10,CC21,0
BP10,CC23,0
BP10,CC24,3
BP10,CC25,0
BP10,CC26,0
BP10,CC27,0
BP10,CC28,0
BP10,CC3,0
BP10,CC4-DT15,0
BP10,CC5,0
BP10,CC6,0
BP10,CC8,0
BP10,CE1,0
BP10,CG1,0
BP10,CG2,1
BP10,DT1,0
BP10,DT10,0
BP10,DT11,0
BP10,DT13,0
BP10,DT17,0
BP10,DT18,0
BP10,DT2,0
BP10,DT27,0
BP10,DT28,0
BP10,DT3,0
BP10,DT31,0
BP10,DT32,1
BP10,DT33,0
BP10,DT5,1
BP10,DT6,0
BP10,DT7,0
BP10,DT8,0
BP10,EW1,0
BP10,EW10,0
BP10,EW11,1
BP10,EW12,1
BP10,EW13-NS25,1
BP10,EW14-NS26,0
BP10,EW15,3
BP10,EW16,1
BP10,EW17,8
BP10,EW18,6
BP10,EW19,7
BP10,EW2,0
BP10,EW20,11
BP10,EW21,7
BP10,EW22,29
BP10,EW23,30
BP10,EW24-NS1,234
BP10,EW25,5
BP10,EW26,17
BP10,EW27,58
BP10,EW28,17
BP10,EW29,27
BP10,EW3,0
BP10,EW30,4
BP10,EW31,2
BP10,EW32,4
BP10,EW33,3
BP10,EW4,1
BP10,EW5,1
BP10,EW6,0
BP10,EW7,0
BP10,EW8,1
BP10,EW9,1
BP10,NE1,2
BP10,NE12,1
BP10,NE13,0
BP10,NE14,0
BP10,NE16-STC,0
BP10,NE17-PTC,0
BP10,NE4,1
BP10,NE5,0
BP10,NE7,0
BP10,NE8,0
BP10,NE9,0
BP10,NS10,19
BP10,NS11,13
BP10,NS13,20
BP10,NS14,7
BP10,NS15,28
BP10,NS16,16
BP10,NS17,4
BP10,NS18,0
BP10,NS19,1
BP10,NS2,43
BP10,NS20,2
BP10,NS21,0
BP10,NS22,1
BP10,NS23,0
BP10,NS27,0
BP10,NS28,0
BP10,NS3,29
BP10,NS4,328
BP10,NS5,60
BP10,NS7,37
BP10,NS8,9
BP10,NS9,40
BP10,PE1,0
BP10,PE3,0
BP10,PE4,0
BP10,PE7,0
BP10,PW5,0
BP10,PW6,0
BP10,SE4,0
BP11,BP10,138
BP11,BP12,83
BP11,BP13,115
BP11,BP14,7
BP11,BP2,72
BP11,BP3,79
BP11,BP4,99
BP11,BP5,174
BP11,BP6,1646
BP11,BP7,96
BP11,BP8,326
BP11,BP9,228
BP11,CC1-NE6-NS24,0
BP11,CC10,0
BP11,CC11,0
BP11,CC12,0
BP11,CC14,0
BP11,CC16,0
BP11,CC17,0
BP11,CC19,0
BP11,CC2,0
BP11,CC20,0
BP11,CC21,0
BP11,CC23,1
BP11,CC24,3
BP11,CC25,0
BP11,CC26,0
BP11,CC27,0
BP11,CC28,0
BP11,CC3,0
BP11,CC4-DT15,0
BP11,CC6,0
BP11,CC8,0
BP11,CE1,0
BP11,CG1,0
BP11,CG2,0
BP11,DT1,0
BP11,DT10,0
BP11,DT11,1
BP11,DT13,0
BP11,DT17,0
BP11,DT18,0
BP11,DT2,0
BP11,DT20,0
BP11,DT22,0
BP11,DT23,0
BP11,DT27,0
BP11,DT3,0
BP11,DT31,0
BP11,DT32,0
BP11,DT5,1
BP11,DT6,0
BP11,DT7,0
BP11,DT8,0
BP11,EW1,0
BP11,EW10,0
BP11,EW11,1
BP11,EW12,1
BP11,EW13-NS25,1
BP11,EW14-NS26,1
BP11,EW15,4
BP11,EW16,2
BP11,EW17,9
BP11,EW18,10
BP11,EW19,10
BP11,EW2,0
BP11,EW20,11
BP11,EW21,7
BP11,EW22,37
BP11,EW23,47
BP11,EW24-NS1,302
BP11,EW25,3
BP11,EW26,29
BP11,EW27,65
BP11,EW28,24
BP11,EW29,40
BP11,EW3,0
BP11,EW30,6
BP11,EW31,3
BP11,EW32,4
BP11,EW33,2
BP11,EW4,0
BP11,EW5,1
BP11,EW6,0
BP11,EW7,1
BP11,EW8,1
BP11,EW9,1
BP11,NE1,1
BP11,NE11,0
BP11,NE12,0
