DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,multiplier
WEEKDAY,BP10,BP11,139.0,21
WEEKDAY,BP10,BP12,190.0,21
WEEKDAY,BP10,BP13,121.0,21
WEEKDAY,BP10,BP14,10.0,21
WEEKDAY,BP10,BP2,52.0,21
WEEKDAY,BP10,BP3,79.0,21
WEEKDAY,BP10,BP4,103.0,21
WEEKDAY,BP10,BP5,167.0,21
WEEKDAY,BP10,BP6,1472.0,21
WEEKDAY,BP10,BP7,167.0,21
WEEKDAY,BP10,BP8,556.0,21
WEEKDAY,BP10,BP9,302.0,21
WEEKDAY,BP10,CC1-NE6-NS24,0.0,21
WEEKDAY,BP10,CC10,0.0,21
WEEKDAY,BP10,CC11,0.0,21
WEEKDAY,BP10,CC14,0.0,21
WEEKDAY,BP10,CC16,0.0,21
WEEKDAY,BP10,CC17,0.0,21
WEEKDAY,BP10,CC20,0.0,21
WEEKDAY,BP10,CC21,0.0,21
WEEKDAY,BP10,CC23,1.0,21
WEEKDAY,BP10,CC24,3.0,21
WEEKDAY,BP10,CC25,0.0,21
WEEKDAY,BP10,CC26,0.0,21
WEEKDAY,BP10,CC27,0.0,21
WEEKDAY,BP10,CC28,0.0,21
WEEKDAY,BP10,CC3,0.0,21
WEEKDAY,BP10,CC4-DT15,0.0,21
WEEKDAY,BP10,CC5,0.0,21
WEEKDAY,BP10,CC7,0.0,21
WEEKDAY,BP10,CE1,0.0,21
WEEKDAY,BP10,CG1,0.0,21
WEEKDAY,BP10,CG2,1.0,21
WEEKDAY,BP10,DT1,0.0,21
WEEKDAY,BP10,DT11,0.0,21
WEEKDAY,BP10,DT13,0.0,21
WEEKDAY,BP10,DT17,1.0,21
WEEKDAY,BP10,DT18,0.0,21
WEEKDAY,BP10,DT2,0.0,21
WEEKDAY,BP10,DT23,0.0,21
WEEKDAY,BP10,DT24,0.0,21
WEEKDAY,BP10,DT28,0.0,21
WEEKDAY,BP10,DT30,0.0,21
WEEKDAY,BP10,DT31,0.0,21
WEEKDAY,BP10,DT5,0.0,21
WEEKDAY,BP10,DT6,0.0,21
WEEKDAY,BP10,DT7,0.0,21
WEEKDAY,BP10,DT8,0.0,21
WEEKDAY,BP10,EW1,0.0,21
WEEKDAY,BP10,EW10,0.0,21
WEEKDAY,BP10,EW11,1.0,21
WEEKDAY,BP10,EW12,1.0,21
