PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
BP10,4223,4166
BP11,4546,3879
BP12,3927,3421
BP13,2201,1905
BP2,4165,3203
BP3,5005,4135
BP4,4743,4486
BP5,2610,1949
BP6,13246,16704
BP7,1902,1692
BP8,3167,2920
BP9,3411,3338
CC1-NE6-NS24,36253,34838
CC10,15754,14747
CC11,17301,17525
CC12,6296,5378
CC14,7525,7146
CC16,10703,10236
CC17,3864,3766
CC19,7690,8231
CC2,5863,6355
CC20,5750,5700
CC21,8779,9462
CC23,14162,14062
CC24,19381,19153
CC25,7246,6660
CC26,5034,5216
CC27,6955,6985
CC28,3809,4088
CC3,8454,8026
CC4-DT15,18748,19413
CC5,5022,5223
CC6,10846,10909
CC7,7458,7706
CC8,8632,7720
CE1,30663,29872
CG1,16644,17332
CG2,29001,29139
DT1,30540,29758
DT10,5323,4209
DT11,29727,31809
DT13,9992,10327
DT17,21967,22463
DT18,16662,17756
DT2,2846,2162
DT20,6994,7716
DT21,7352,7412
DT22,7392,7845
DT23,4201,4283
DT24,5033,4783
DT25,3739,3781
DT27,7533,7349
DT28,10557,9936
DT29,6877,6223
DT3,8004,6791
DT30,7513,7216
DT31,7790,8199
DT32,20594,22190
DT33,17774,16529
DT34,4684,4345
DT5,13730,13417
DT6,7728,6484
DT7,4000,4762
DT8,5045,4808
EW1,31937,30358
EW10,12470,12713
EW11,20332,20589
EW12,56094,58318
EW13-NS25,42593,43686
EW14-NS26,52938,52456
EW15,41863,44100
EW16,28082,27527
EW17,27641,28833
EW18,17940,18473
EW19,14682,13798
EW2,33209,33682
EW20,15734,15263
EW21,26419,24607
EW22,12945,13112
EW23,44957,45732
EW24-NS1,77747,82081
EW25,9933,8763
EW26,32812,28421
EW27,48689,55740
EW28,30448,23155
EW29,16528,16408
EW3,18227,18483
EW30,3104,2655
EW31,3670,3043
EW32,3221,3249
EW33,3256,3369
EW4,17833,16076
EW5,35307,34542
EW6,11632,13302
EW7,14713,16984
EW8,39265,39958
EW9,23615,23191
NE1,49299,49302
NE10,14646,14697
NE11,5357,4977
NE12,58277,60145
NE13,20861,20923
NE14,31339,29702
NE15,16532,15436
NE16-STC,42245,43185
NE17-PTC,37665,36356
NE4,53323,53276
NE5,14718,16728
NE7,28633,30654
NE8,29030,31639
NE9,23024,20465
NS10,45849,40841
NS11,43075,42137
NS13,56843,59571
NS14,32704,28776
NS15,28763,26940
NS16,50700,54128
NS17,48661,46730
NS18,15329,13822
NS19,39413,41017
NS2,26826,27532
NS20,39538,39276
NS21,31302,34039
NS22,60327,64672
NS23,34230,36595
NS27,5765,5879
NS28,1879,1876
NS3,18322,17357
NS4,39036,41445
NS5,31425,29673
NS7,24459,22328
NS8,24628,19448
NS9,46045,54926
PE1,3565,3536
PE2,5426,5033
PE3,5633,5658
PE4,1443,1378
PE5,5294,4942
PE6,6007,5786
PE7,3838,3614
PW1,637,660
PW3,601,590
PW4,471,499
PW5,2688,3018
PW6,1100,899
PW7,1983,2126
SE1,4328,4311
SE2,5587,5145
SE3,3154,2937
SE4,3602,3373
SE5,2781,2777
SW1,1897,1941
SW2,3830,3535
SW3,2193,2080
SW4,773,717
SW5,7388,6777
SW6,3550,3344
SW7,2941,2674
SW8,2046,1997
