DAY_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
WEEKDAY,BP10,4545,4535
WEEKDAY,BP11,4883,4130
WEEKDAY,BP12,4463,3867
WEEKDAY,BP13,2280,2001
WEEKDAY,BP2,4557,3491
WEEKDAY,BP3,5462,4564
WEEKDAY,BP4,5612,5270
WEEKDAY,BP5,2814,2151
WEEKDAY,BP6,14128,17870
WEEKDAY,BP7,2044,1821
WEEKDAY,BP8,3393,3161
WEEKDAY,BP9,3711,3628
WEEKDAY,CC1-NE6-NS24,36405,34960
WEEKDAY,CC10,18057,16936
WEEKDAY,CC11,20903,21252
WEEKDAY,CC12,7403,6191
WEEKDAY,CC14,8904,8337
WEEKDAY,CC16,12463,11763
WEEKDAY,CC17,4540,4478
WEEKDAY,CC19,7060,7558
WEEKDAY,CC2,5186,5599
WEEKDAY,CC20,6267,6122
WEEKDAY,CC21,9153,10065
WEEKDAY,CC23,18691,18360
WEEKDAY,CC24,21678,21293
WEEKDAY,CC25,7838,7334
WEEKDAY,CC26,6053,6205
WEEKDAY,CC27,9095,9069
WEEKDAY,CC28,4133,4524
WEEKDAY,CC3,8098,7803
WEEKDAY,CC4-DT15,20675,21482
WEEKDAY,CC5,5200,5470
WEEKDAY,CC6,9405,9775
WEEKDAY,CC7,8142,8358
WEEKDAY,CC8,9486,8229
WEEKDAY,CE1,26015,25948
WEEKDAY,CG1,20215,20588
WEEKDAY,CG2,24736,24636
WEEKDAY,DT1,32758,31993
WEEKDAY,DT10,6037,4824
WEEKDAY,DT11,31382,33704
WEEKDAY,DT13,9600,9936
WEEKDAY,DT17,28494,29157
WEEKDAY,DT18,21530,22784
WEEKDAY,DT2,3281,2518
WEEKDAY,DT20,7460,8252
WEEKDAY,DT21,7380,7410
WEEKDAY,DT22,6932,7289
WEEKDAY,DT23,5058,5112
WEEKDAY,DT24,5622,5291
WEEKDAY,DT25,4179,4298
WEEKDAY,DT27,8481,8201
WEEKDAY,DT28,11779,11004
WEEKDAY,DT29,7582,6848
WEEKDAY,DT3,8645,7393
WEEKDAY,DT30,8151,7888
WEEKDAY,DT31,8901,9393
WEEKDAY,DT32,22034,24126
WEEKDAY,DT33,19711,18351
