PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,multiplier
BP10,3863.0,3858.0,570
BP11,4056.0,3454.0,600
BP12,3122.0,2759.0,600
BP13,1962.0,1679.0,600
BP2,3634.0,2852.0,570
BP3,4516.0,3771.0,570
BP4,2278.0,2078.0,570
BP5,2277.0,1729.0,570
BP6,12038.0,14804.0,600
BP7,1668.0,1479.0,589
BP8,2692.0,2544.0,570
BP9,2866.0,2827.0,570
CC1-NE6-NS24,35994.0,34968.0,600
CC10,14767.0,13836.0,1200
CC11,16173.0,16283.0,600
CC12,4676.0,4132.0,600
CC14,6067.0,5691.0,600
CC16,8721.0,8448.0,600
CC17,3184.0,3135.0,600
CC19,6775.0,7379.0,1200
CC2,4721.0,4913.0,600
CC20,4703.0,4717.0,600
CC21,7890.0,8532.0,600
CC23,12187.0,12028.0,600
CC24,15244.0,15111.0,600
CC25,6690.0,6203.0,600
CC26,4804.0,4951.0,600
CC27,6188.0,6178.0,600
CC28,3524.0,3690.0,600
CC3,8401.0,7831.0,600
CC4-DT15,17804.0,18682.0,600
CC5,4910.0,5087.0,600
CC6,9251.0,9218.0,600
CC7,6379.0,6900.0,600
CC8,6848.0,6427.0,600
CE1,33040.0,32409.0,1200
CG1,15890.0,16767.0,1200
CG2,27787.0,27027.0,600
DT1,27986.0,26904.0,600
DT10,4047.0,3327.0,600
DT11,28693.0,29445.0,600
DT13,8679.0,9101.0,600
DT17,18367.0,18989.0,600
DT18,14510.0,15633.0,600
DT2,2285.0,1857.0,600
DT20,6885.0,7925.0,600
DT21,6555.0,6537.0,600
DT22,7288.0,7848.0,600
DT23,3881.0,3974.0,600
DT24,4725.0,4523.0,600
DT25,3450.0,3556.0,600
DT27,6764.0,6692.0,600
DT28,9962.0,9368.0,600
DT29,6333.0,5750.0,600
DT3,7018.0,5974.0,600
DT30,6793.0,6427.0,600
DT31,6976.0,7350.0,600
DT32,19269.0,20592.0,600
DT33,16089.0,14931.0,600
DT34,4215.0,3904.0,600
DT5,12504.0,12505.0,600
DT6,5466.0,5034.0,600
DT7,3210.0,3829.0,600
DT8,3234.0,3222.0,600
EW1,29452.0,27767.0,600
EW10,12212.0,12413.0,600
EW11,19324.0,19622.0,600
EW12,56026.0,59172.0,1200
EW13-NS25,43863.0,44445.0,600
EW14-NS26,47576.0,46881.0,600
EW15,37865.0,39953.0,600
EW16,25768.0,25369.0,1200
EW17,25806.0,26916.0,600
EW18,15991.0,16508.0,600
EW19,13310.0,12380.0,600
EW2,31724.0,32111.0,600
EW20,14226.0,13747.0,600
EW21,22606.0,21793.0,1200
EW22,9095.0,9384.0,600
EW23,40448.0,40948.0,600
EW24-NS1,75895.0,80213.0,600
EW25,8933.0,8069.0,600
EW26,30734.0,26453.0,600
EW27,45782.0,51634.0,600
EW28,27310.0,20914.0,600
EW29,15508.0,15750.0,600
EW3,16588.0,16548.0,600
EW30,2958.0,2477.0,600
EW31,3572.0,2936.0,600
EW32,3351.0,3396.0,600
EW33,3277.0,3568.0,600
EW4,15611.0,14169.0,600
EW5,33182.0,32513.0,600
EW6,10474.0,11719.0,600
EW7,13636.0,15426.0,600
EW8,38576.0,40249.0,1200
EW9,22186.0,21914.0,600
NE1,50026.0,49764.0,1200
NE10,12870.0,13074.0,600
NE11,4622.0,4325.0,600
NE12,54342.0,56256.0,1200
NE13,19669.0,19590.0,600
NE14,29521.0,27929.0,600
NE15,14991.0,13905.0,600
NE16-STC,39420.0,40373.0,600
NE17-PTC,36260.0,35191.0,600
NE4,55203.0,55404.0,1200
NE5,14359.0,16425.0,600
NE7,27875.0,30045.0,1200
NE8,29043.0,31469.0,600
NE9,20658.0,18196.0,600
NS10,41421.0,36127.0,600
NS11,39791.0,38683.0,600
NS13,53180.0,55614.0,600
NS14,29721.0,26076.0,600
NS15,22782.0,20938.0,600
NS16,47326.0,50915.0,600
NS17,43449.0,41829.0,1200
NS18,14164.0,12917.0,600
NS19,36894.0,38492.0,600
NS2,25006.0,25683.0,600
NS20,36748.0,36655.0,600
NS21,30008.0,31575.0,600
NS22,61438.0,66331.0,600
NS23,35169.0,37853.0,600
NS27,5059.0,5448.0,1200
NS28,1889.0,1880.0,600
NS3,17255.0,16289.0,600
NS4,35590.0,37717.0,1181
NS5,28587.0,27027.0,600
NS7,21375.0,19709.0,600
NS8,22772.0,18101.0,600
NS9,42530.0,50537.0,600
PE1,3118.0,2997.0,600
PE2,4746.0,4352.0,600
PE3,5006.0,5026.0,600
PE4,1339.0,1275.0,600
PE5,4605.0,4176.0,600
PE6,5620.0,5319.0,600
PE7,3436.0,3165.0,600
PW1,820.0,827.0,600
PW3,667.0,667.0,600
PW4,430.0,423.0,600
PW5,1897.0,2618.0,600
PW6,1015.0,848.0,600
PW7,1776.0,1846.0,600
SE1,3773.0,3718.0,600
SE2,5020.0,4611.0,600
SE3,2876.0,2602.0,600
SE4,3435.0,3204.0,600
SE5,2290.0,2205.0,600
SW1,1824.0,1838.0,600
SW2,3556.0,3279.0,600
SW3,1940.0,1813.0,600
SW4,874.0,844.0,600
SW5,6802.0,6297.0,600
SW6,2952.0,2720.0,600
SW7,2516.0,2245.0,600
SW8,1813.0,1740.0,600
