DAY_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,multiplier
WEEKDAY,BP10,4117.0,4078.0,19
WEEKDAY,BP11,4440.0,3718.0,19
WEEKDAY,BP12,3425.0,2969.0,19
WEEKDAY,BP13,2037.0,1722.0,19
WEEKDAY,BP2,4017.0,3092.0,19
WEEKDAY,BP3,4961.0,4104.0,19
WEEKDAY,BP4,2649.0,2409.0,19
WEEKDAY,BP5,2447.0,1846.0,19
WEEKDAY,BP6,13013.0,16211.0,19
WEEKDAY,BP7,1792.0,1565.0,19
WEEKDAY,BP8,2901.0,2717.0,19
WEEKDAY,BP9,2937.0,2910.0,19
WEEKDAY,CC1-NE6-NS24,36971.0,36011.0,19
WEEKDAY,CC10,17221.0,16170.0,19
WEEKDAY,CC11,20100.0,20452.0,19
WEEKDAY,CC12,5169.0,4517.0,19
WEEKDAY,CC14,7058.0,6549.0,19
WEEKDAY,CC16,10016.0,9639.0,19
WEEKDAY,CC17,3875.0,3789.0,19
WEEKDAY,CC19,6644.0,7174.0,19
WEEKDAY,CC2,5197.0,5468.0,19
WEEKDAY,CC20,5178.0,5177.0,19
WEEKDAY,CC21,8471.0,9279.0,19
WEEKDAY,CC23,17493.0,17252.0,19
WEEKDAY,CC24,20712.0,20477.0,19
WEEKDAY,CC25,7690.0,7146.0,19
WEEKDAY,CC26,5906.0,6063.0,19
WEEKDAY,CC27,8720.0,8650.0,19
WEEKDAY,CC28,3911.0,4242.0,19
WEEKDAY,CC3,8091.0,7694.0,19
WEEKDAY,CC4-DT15,20246.0,21136.0,19
WEEKDAY,CC5,5236.0,5499.0,19
WEEKDAY,CC6,8732.0,8966.0,19
WEEKDAY,CC7,7000.0,7533.0,19
WEEKDAY,CC8,7350.0,6806.0,19
WEEKDAY,CE1,28174.0,27889.0,19
WEEKDAY,CG1,17307.0,18360.0,19
WEEKDAY,CG2,25820.0,25236.0,19
WEEKDAY,DT1,30586.0,29251.0,19
WEEKDAY,DT10,4591.0,3761.0,19
WEEKDAY,DT11,30944.0,32255.0,19
WEEKDAY,DT13,9161.0,9564.0,19
WEEKDAY,DT17,26385.0,27439.0,19
WEEKDAY,DT18,20536.0,22068.0,19
WEEKDAY,DT2,2717.0,2211.0,19
WEEKDAY,DT20,7712.0,8822.0,19
WEEKDAY,DT21,7189.0,7292.0,19
WEEKDAY,DT22,6717.0,7206.0,19
WEEKDAY,DT23,4921.0,5002.0,19
WEEKDAY,DT24,5343.0,5034.0,19
WEEKDAY,DT25,3901.0,4052.0,19
WEEKDAY,DT27,7671.0,7635.0,19
WEEKDAY,DT28,11182.0,10451.0,19
WEEKDAY,DT29,7168.0,6466.0,19
WEEKDAY,DT3,7776.0,6565.0,19
WEEKDAY,DT30,7608.0,7196.0,19
WEEKDAY,DT31,7995.0,8402.0,19
WEEKDAY,DT32,21073.0,22836.0,19
WEEKDAY,DT33,18447.0,16969.0,19
WEEKDAY,DT34,5003.0,4564.0,19
WEEKDAY,DT5,13239.0,13283.0,19
WEEKDAY,DT6,6432.0,5861.0,19
WEEKDAY,DT7,3588.0,4403.0,19
WEEKDAY,DT8,3710.0,3694.0,19
WEEKDAY,EW1,32406.0,30101.0,19
WEEKDAY,EW10,11738.0,11856.0,19
WEEKDAY,EW11,21322.0,21587.0,19
WEEKDAY,EW12,57009.0,60215.0,19
WEEKDAY,EW13-NS25,42985.0,44278.0,19
WEEKDAY,EW14-NS26,65513.0,64560.0,19
WEEKDAY,EW15,50851.0,53566.0,19
WEEKDAY,EW16,31835.0,31273.0,19
WEEKDAY,EW17,28652.0,29758.0,19
WEEKDAY,EW18,18421.0,19033.0,19
WEEKDAY,EW19,15070.0,13661.0,19
WEEKDAY,EW2,33340.0,34055.0,19
WEEKDAY,EW20,16077.0,15474.0,19
WEEKDAY,EW21,27303.0,26418.0,19
WEEKDAY,EW22,11789.0,12008.0,19
WEEKDAY,EW23,44122.0,45158.0,19
WEEKDAY,EW24-NS1,80359.0,85549.0,19
WEEKDAY,EW25,9391.0,8012.0,19
WEEKDAY,EW26,33635.0,28759.0,19
WEEKDAY,EW27,47858.0,55127.0,19
WEEKDAY,EW28,30150.0,22402.0,19
WEEKDAY,EW29,18213.0,18400.0,19
WEEKDAY,EW3,18227.0,18137.0,19
WEEKDAY,EW30,3418.0,2911.0,19
WEEKDAY,EW31,4061.0,3419.0,19
WEEKDAY,EW32,3737.0,3669.0,19
WEEKDAY,EW33,3344.0,3589.0,19
WEEKDAY,EW4,17271.0,15356.0,19
WEEKDAY,EW5,35363.0,34719.0,19
WEEKDAY,EW6,11339.0,13042.0,19
WEEKDAY,EW7,14563.0,16821.0,19
WEEKDAY,EW8,38744.0,40351.0,19
WEEKDAY,EW9,22277.0,21999.0,19
WEEKDAY,NE1,50004.0,50037.0,19
WEEKDAY,NE10,14080.0,14536.0,19
WEEKDAY,NE11,5280.0,4918.0,19
WEEKDAY,NE12,57813.0,59943.0,19
WEEKDAY,NE13,20113.0,20199.0,19
WEEKDAY,NE14,32114.0,30380.0,19
WEEKDAY,NE15,16591.0,15119.0,19
WEEKDAY,NE16-STC,42361.0,43400.0,19
WEEKDAY,NE17-PTC,37764.0,36452.0,19
WEEKDAY,NE4,56436.0,56411.0,19
WEEKDAY,NE5,16316.0,18449.0,19
WEEKDAY,NE7,26985.0,28775.0,19
WEEKDAY,NE8,26550.0,28878.0,19
WEEKDAY,NE9,22693.0,20045.0,19
WEEKDAY,NS10,46206.0,39927.0,19
WEEKDAY,NS11,43002.0,41591.0,19
WEEKDAY,NS13,57770.0,60646.0,19
WEEKDAY,NS14,32876.0,28818.0,19
WEEKDAY,NS15,28128.0,25911.0,19
WEEKDAY,NS16,50989.0,55197.0,19
WEEKDAY,NS17,48208.0,46422.0,19
WEEKDAY,NS18,15699.0,14241.0,19
WEEKDAY,NS19,40054.0,41845.0,19
WEEKDAY,NS2,27341.0,28097.0,19
WEEKDAY,NS20,42222.0,42304.0,19
WEEKDAY,NS21,33239.0,34295.0,19
WEEKDAY,NS22,58292.0,63630.0,19
WEEKDAY,NS23,36269.0,39614.0,19
WEEKDAY,NS27,6899.0,6751.0,19
WEEKDAY,NS28,1677.0,1702.0,19
WEEKDAY,NS3,18641.0,17526.0,19
WEEKDAY,NS4,38642.0,41048.0,19
WEEKDAY,NS5,31633.0,29443.0,19
WEEKDAY,NS7,21135.0,19829.0,19
WEEKDAY,NS8,25190.0,19812.0,19
WEEKDAY,NS9,45543.0,55580.0,19
WEEKDAY,PE1,3277.0,3160.0,19
WEEKDAY,PE2,5126.0,4636.0,19
WEEKDAY,PE3,5258.0,5289.0,19
WEEKDAY,PE4,1374.0,1271.0,19
WEEKDAY,PE5,4977.0,4461.0,19
WEEKDAY,PE6,5924.0,5613.0,19
WEEKDAY,PE7,3603.0,3317.0,19
WEEKDAY,PW1,725.0,763.0,19
WEEKDAY,PW3,697.0,703.0,19
WEEKDAY,PW4,418.0,430.0,19
WEEKDAY,PW5,1626.0,2539.0,19
WEEKDAY,PW6,1080.0,892.0,19
WEEKDAY,PW7,1880.0,1935.0,19
WEEKDAY,SE1,4011.0,3968.0,19
WEEKDAY,SE2,5399.0,4902.0,19
WEEKDAY,SE3,3146.0,2799.0,19
WEEKDAY,SE4,3619.0,3356.0,19
WEEKDAY,SE5,2414.0,2324.0,19
WEEKDAY,SW1,2085.0,2116.0,19
WEEKDAY,SW2,3604.0,3306.0,19
WEEKDAY,SW3,2078.0,1934.0,19
WEEKDAY,SW4,908.0,872.0,19
WEEKDAY,SW5,7062.0,6428.0,19
WEEKDAY,SW6,3225.0,2968.0,19
WEEKDAY,SW7,2694.0,2368.0,19
WEEKDAY,SW8,1960.0,1883.0,19
WEEKENDS/HOLIDAY,BP10,3424.0,3478.0,11
WEEKENDS/HOLIDAY,BP11,3391.0,3000.0,11
WEEKENDS/HOLIDAY,BP12,2599.0,2397.0,11
WEEKENDS/HOLIDAY,BP13,1833.0,1606.0,11
WEEKENDS/HOLIDAY,BP2,2972.0,2436.0,11
WEEKENDS/HOLIDAY,BP3,3747.0,3195.0,11
