DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,multiplier
WEEKDAY,BP10,BP11,116.0,23
WEEKDAY,BP10,BP12,183.0,23
WEEKDAY,BP10,BP13,113.0,23
WEEKDAY,BP10,BP2,56.0,23
WEEKDAY,BP10,BP3,92.0,23
WEEKDAY,BP10,BP4,98.0,23
WEEKDAY,BP10,BP5,149.0,23
WEEKDAY,BP10,BP6,1423.0,23
WEEKDAY,BP10,BP7,154.0,23
WEEKDAY,BP10,BP8,513.0,23
WEEKDAY,BP10,BP9,284.0,23
WEEKDAY,BP10,CC16,1.0,23
WEEKDAY,BP10,CC23,1.0,23
WEEKDAY,BP10,CC24,4.0,23
WEEKDAY,BP10,CC27,2.0,23
WEEKDAY,BP10,CC4-DT15,1.0,23
WEEKDAY,BP10,CE1,2.0,23
WEEKDAY,BP10,DT11,2.0,23
WEEKDAY,BP10,DT17,2.0,23
WEEKDAY,BP10,DT18,2.0,23
WEEKDAY,BP10,DT5,4.0,23
WEEKDAY,BP10,DT6,1.0,23
WEEKDAY,BP10,DT7,4.0,23
WEEKDAY,BP10,DT8,1.0,23
WEEKDAY,BP10,EW12,2.0,23
WEEKDAY,BP10,EW14-NS26,1.0,23
WEEKDAY,BP10,EW15,4.0,23
WEEKDAY,BP10,EW16,1.0,23
WEEKDAY,BP10,EW17,3.0,23
WEEKDAY,BP10,EW18,4.0,23
WEEKDAY,BP10,EW19,4.0,23
WEEKDAY,BP10,EW20,12.0,23
WEEKDAY,BP10,EW21,7.0,23
WEEKDAY,BP10,EW22,45.0,23
WEEKDAY,BP10,EW23,38.0,23
WEEKDAY,BP10,EW24-NS1,240.0,23
WEEKDAY,BP10,EW25,3.0,23
WEEKDAY,BP10,EW26,22.0,23
WEEKDAY,BP10,EW27,56.0,23
WEEKDAY,BP10,EW28,18.0,23
WEEKDAY,BP10,EW29,39.0,23
WEEKDAY,BP10,EW30,9.0,23
WEEKDAY,BP10,EW31,5.0,23
WEEKDAY,BP10,EW32,8.0,23
WEEKDAY,BP10,EW33,2.0,23
WEEKDAY,BP10,NE4,3.0,23
WEEKDAY,BP10,NS10,20.0,23
WEEKDAY,BP10,NS11,20.0,23
WEEKDAY,BP10,NS13,13.0,23
WEEKDAY,BP10,NS14,3.0,23
WEEKDAY,BP10,NS15,39.0,23
WEEKDAY,BP10,NS16,15.0,23
WEEKDAY,BP10,NS17,3.0,23
WEEKDAY,BP10,NS18,1.0,23
WEEKDAY,BP10,NS19,1.0,23
WEEKDAY,BP10,NS2,56.0,23
WEEKDAY,BP10,NS20,2.0,23
WEEKDAY,BP10,NS3,27.0,23
WEEKDAY,BP10,NS4,279.0,23
WEEKDAY,BP10,NS5,55.0,23
WEEKDAY,BP10,NS7,44.0,23
WEEKDAY,BP10,NS8,10.0,23
WEEKDAY,BP10,NS9,45.0,23
WEEKDAY,BP11,BP10,132.0,23
WEEKDAY,BP11,BP12,76.0,23
WEEKDAY,BP11,BP13,100.0,23
WEEKDAY,BP11,BP2,70.0,23
WEEKDAY,BP11,BP3,83.0,23
WEEKDAY,BP11,BP4,116.0,23
WEEKDAY,BP11,BP5,168.0,23
WEEKDAY,BP11,BP6,1764.0,23
WEEKDAY,BP11,BP7,107.0,23
WEEKDAY,BP11,BP8,364.0,23
WEEKDAY,BP11,BP9,232.0,23
WEEKDAY,BP11,CC11,1.0,23
WEEKDAY,BP11,CC23,3.0,23
WEEKDAY,BP11,CC24,3.0,23
WEEKDAY,BP11,CC25,1.0,23
WEEKDAY,BP11,CC4-DT15,1.0,23
WEEKDAY,BP11,CE1,2.0,23
WEEKDAY,BP11,DT11,3.0,23
WEEKDAY,BP11,DT17,3.0,23
WEEKDAY,BP11,DT18,2.0,23
WEEKDAY,BP11,DT27,1.0,23
WEEKDAY,BP11,DT28,1.0,23
WEEKDAY,BP11,DT5,4.0,23
WEEKDAY,BP11,DT6,3.0,23
WEEKDAY,BP11,DT7,2.0,23
WEEKDAY,BP11,DT8,4.0,23
WEEKDAY,BP11,EW15,5.0,23
WEEKDAY,BP11,EW16,1.0,23
WEEKDAY,BP11,EW17,6.0,23
WEEKDAY,BP11,EW18,11.0,23
WEEKDAY,BP11,EW19,12.0,23
WEEKDAY,BP11,EW20,12.0,23
WEEKDAY,BP11,EW21,7.0,23
WEEKDAY,BP11,EW22,56.0,23
WEEKDAY,BP11,EW23,67.0,23
WEEKDAY,BP11,EW24-NS1,320.0,23
WEEKDAY,BP11,EW25,1.0,23
WEEKDAY,BP11,EW26,31.0,23
WEEKDAY,BP11,EW27,73.0,23
WEEKDAY,BP11,EW28,26.0,23
WEEKDAY,BP11,EW29,37.0,23
WEEKDAY,BP11,EW30,8.0,23
WEEKDAY,BP11,EW31,5.0,23
WEEKDAY,BP11,EW32,9.0,23
WEEKDAY,BP11,EW33,3.0,23
WEEKDAY,BP11,EW4,1.0,23
WEEKDAY,BP11,NE1,1.0,23
WEEKDAY,BP11,NE4,4.0,23
WEEKDAY,BP11,NE7,1.0,23
WEEKDAY,BP11,NE9,1.0,23
WEEKDAY,BP11,NS10,30.0,23
WEEKDAY,BP11,NS11,28.0,23
WEEKDAY,BP11,NS13,22.0,23
WEEKDAY,BP11,NS14,8.0,23
WEEKDAY,BP11,NS15,62.0,23
WEEKDAY,BP11,NS16,14.0,23
WEEKDAY,BP11,NS2,53.0,23
WEEKDAY,BP11,NS20,1.0,23
WEEKDAY,BP11,NS3,30.0,23
WEEKDAY,BP11,NS4,341.0,23
WEEKDAY,BP11,NS5,66.0,23
WEEKDAY,BP11,NS7,36.0,23
WEEKDAY,BP11,NS8,10.0,23
WEEKDAY,BP11,NS9,69.0,23
WEEKDAY,BP12,BP10,170.0,23
WEEKDAY,BP12,BP11,74.0,23
WEEKDAY,BP12,BP13,68.0,23
WEEKDAY,BP12,BP2,90.0,23
WEEKDAY,BP12,BP3,113.0,23
WEEKDAY,BP12,BP4,84.0,23
WEEKDAY,BP12,BP5,126.0,23
WEEKDAY,BP12,BP6,1762.0,23
WEEKDAY,BP12,BP7,58.0,23
WEEKDAY,BP12,BP8,204.0,23
WEEKDAY,BP12,BP9,203.0,23
WEEKDAY,BP12,CC11,1.0,23
WEEKDAY,BP12,CC23,2.0,23
WEEKDAY,BP12,CC24,1.0,23
WEEKDAY,BP12,DT10,3.0,23
WEEKDAY,BP12,DT11,5.0,23
WEEKDAY,BP12,DT17,2.0,23
WEEKDAY,BP12,DT18,2.0,23
WEEKDAY,BP12,DT27,1.0,23
WEEKDAY,BP12,DT5,3.0,23
WEEKDAY,BP12,DT6,1.0,23
WEEKDAY,BP12,DT7,2.0,23
WEEKDAY,BP12,DT8,1.0,23
WEEKDAY,BP12,EW12,2.0,23
WEEKDAY,BP12,EW13-NS25,1.0,23
WEEKDAY,BP12,EW14-NS26,1.0,23
WEEKDAY,BP12,EW15,1.0,23
WEEKDAY,BP12,EW16,1.0,23
WEEKDAY,BP12,EW17,7.0,23
WEEKDAY,BP12,EW18,9.0,23
WEEKDAY,BP12,EW19,4.0,23
WEEKDAY,BP12,EW20,8.0,23
WEEKDAY,BP12,EW21,8.0,23
WEEKDAY,BP12,EW22,41.0,23
WEEKDAY,BP12,EW23,47.0,23
WEEKDAY,BP12,EW24-NS1,228.0,23
WEEKDAY,BP12,EW25,2.0,23
WEEKDAY,BP12,EW26,24.0,23
WEEKDAY,BP12,EW27,46.0,23
WEEKDAY,BP12,EW28,35.0,23
WEEKDAY,BP12,EW29,40.0,23
WEEKDAY,BP12,EW30,6.0,23
WEEKDAY,BP12,EW31,5.0,23
WEEKDAY,BP12,EW32,1.0,23
WEEKDAY,BP12,EW33,3.0,23
WEEKDAY,BP12,NE1,1.0,23
WEEKDAY,BP12,NE4,2.0,23
WEEKDAY,BP12,NE7,1.0,23
WEEKDAY,BP12,NS10,28.0,23
WEEKDAY,BP12,NS11,39.0,23
WEEKDAY,BP12,NS13,26.0,23
WEEKDAY,BP12,NS14,9.0,23
WEEKDAY,BP12,NS15,46.0,23
WEEKDAY,BP12,NS16,14.0,23
WEEKDAY,BP12,NS17,1.0,23
WEEKDAY,BP12,NS18,1.0,23
WEEKDAY,BP12,NS2,39.0,23
WEEKDAY,BP12,NS20,2.0,23
WEEKDAY,BP12,NS3,35.0,23
WEEKDAY,BP12,NS4,273.0,23
WEEKDAY,BP12,NS5,62.0,23
WEEKDAY,BP12,NS7,24.0,23
WEEKDAY,BP12,NS8,27.0,23
WEEKDAY,BP12,NS9,65.0,23
WEEKDAY,BP13,BP10,122.0,23
WEEKDAY,BP13,BP11,97.0,23
