ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,multiplier
BP10,BP11,119.0,589
BP10,BP12,177.0,589
BP10,BP13,116.0,589
BP10,BP2,54.0,589
BP10,BP3,82.0,589
BP10,BP4,83.0,589
BP10,BP5,137.0,589
BP10,BP6,1358.0,589
BP10,BP7,154.0,589
BP10,BP8,483.0,589
BP10,BP9,286.0,589
BP10,CC1-NE6-NS24,1.0,184
BP10,CC10,0.0,207
BP10,CC11,1.0,169
BP10,CC12,0.0,138
BP10,CC14,0.0,92
BP10,CC16,2.0,184
BP10,CC17,0.0,138
BP10,CC19,0.0,138
BP10,CC2,0.0,23
BP10,CC20,1.0,161
BP10,CC21,1.0,284
BP10,CC23,1.0,207
BP10,CC24,5.0,370
BP10,CC25,1.0,200
BP10,CC26,1.0,161
BP10,CC27,1.0,123
BP10,CC28,0.0,77
BP10,CC3,0.0,115
BP10,CC4-DT15,1.0,307
BP10,CC5,0.0,115
BP10,CC6,0.0,184
BP10,CC7,0.0,69
BP10,CC8,0.0,46
BP10,CE1,2.0,399
BP10,CG1,0.0,123
BP10,CG2,1.0,331
BP10,DT1,1.0,200
BP10,DT10,0.0,46
BP10,DT11,4.0,391
BP10,DT13,1.0,238
BP10,DT17,1.0,207
BP10,DT18,2.0,184
BP10,DT2,1.0,161
BP10,DT20,0.0,92
BP10,DT23,0.0,115
BP10,DT24,0.0,69
BP10,DT25,0.0,77
BP10,DT27,0.0,69
BP10,DT28,1.0,138
BP10,DT29,0.0,69
BP10,DT3,0.0,253
BP10,DT30,0.0,69
BP10,DT31,0.0,69
BP10,DT32,1.0,253
BP10,DT33,0.0,207
BP10,DT34,0.0,23
BP10,DT5,4.0,446
BP10,DT6,1.0,230
BP10,DT7,3.0,138
BP10,DT8,1.0,253
BP10,EW1,1.0,230
BP10,EW10,0.0,123
BP10,EW11,1.0,316
BP10,EW12,2.0,539
BP10,EW13-NS25,1.0,317
BP10,EW14-NS26,2.0,292
BP10,EW15,4.0,308
BP10,EW16,3.0,531
BP10,EW17,5.0,450
BP10,EW18,6.0,526
BP10,EW19,6.0,433
BP10,EW2,1.0,224
BP10,EW20,10.0,534
BP10,EW21,9.0,834
BP10,EW22,36.0,457
BP10,EW23,34.0,581
BP10,EW24-NS1,223.0,581
BP10,EW25,5.0,364
BP10,EW26,21.0,566
BP10,EW27,51.0,581
BP10,EW28,17.0,558
BP10,EW29,34.0,518
BP10,EW3,0.0,146
BP10,EW30,7.0,193
BP10,EW31,4.0,193
BP10,EW32,7.0,301
BP10,EW33,3.0,318
BP10,EW4,1.0,77
BP10,EW5,1.0,338
BP10,EW6,0.0,100
BP10,EW7,0.0,116
BP10,EW8,2.0,486
BP10,EW9,1.0,185
BP10,NE1,2.0,492
BP10,NE10,0.0,92
BP10,NE11,0.0,23
BP10,NE12,1.0,407
BP10,NE13,0.0,115
BP10,NE14,0.0,123
BP10,NE15,0.0,69
BP10,NE16-STC,0.0,184
BP10,NE17-PTC,1.0,207
BP10,NE4,4.0,553
BP10,NE5,1.0,184
BP10,NE7,1.0,431
BP10,NE8,1.0,307
BP10,NE9,1.0,230
BP10,NS10,21.0,589
BP10,NS11,17.0,558
BP10,NS13,17.0,581
BP10,NS14,8.0,558
BP10,NS15,31.0,549
BP10,NS16,14.0,581
BP10,NS17,4.0,516
BP10,NS18,1.0,223
BP10,NS19,3.0,417
BP10,NS2,53.0,589
BP10,NS20,2.0,269
BP10,NS21,0.0,39
BP10,NS22,0.0,193
BP10,NS23,0.0,115
BP10,NS27,0.0,46
BP10,NS28,0.0,23
BP10,NS3,30.0,589
BP10,NS4,273.0,1178
BP10,NS5,51.0,589
BP10,NS7,41.0,581
BP10,NS8,11.0,558
BP10,NS9,41.0,581
BP10,PW5,0.0,23
BP10,SE4,0.0,23
BP10,SE5,0.0,46
BP10,SW1,0.0,46
BP10,SW8,0.0,23
BP11,BP10,135.0,589
BP11,BP12,76.0,589
BP11,BP13,95.0,589
BP11,BP2,69.0,589
BP11,BP3,76.0,589
BP11,BP4,95.0,589
BP11,BP5,150.0,589
BP11,BP6,1663.0,589
BP11,BP7,96.0,589
BP11,BP8,326.0,589
BP11,BP9,232.0,589
BP11,CC1-NE6-NS24,1.0,162
BP11,CC10,1.0,207
BP11,CC11,1.0,123
BP11,CC12,0.0,92
BP11,CC14,0.0,69
BP11,CC16,1.0,161
BP11,CC17,0.0,69
