DAY_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,multiplier
WEEKDAY,BP10,4487.0,4480.0,23
WEEKDAY,BP11,4839.0,4064.0,23
WEEKDAY,BP12,4308.0,3702.0,23
WEEKDAY,BP13,2227.0,1920.0,23
WEEKDAY,BP2,4541.0,3442.0,23
WEEKDAY,BP3,5422.0,4508.0,23
WEEKDAY,BP4,4963.0,4676.0,23
WEEKDAY,BP5,2734.0,2074.0,23
WEEKDAY,BP6,13559.0,17277.0,23
WEEKDAY,BP7,2014.0,1775.0,23
WEEKDAY,BP8,3389.0,3145.0,23
WEEKDAY,BP9,3570.0,3461.0,23
WEEKDAY,CC1-NE6-NS24,36098.0,34524.0,23
WEEKDAY,CC10,17636.0,16544.0,23
WEEKDAY,CC11,20097.0,20437.0,23
WEEKDAY,CC12,7305.0,6157.0,23
WEEKDAY,CC14,8273.0,7729.0,23
WEEKDAY,CC16,12098.0,11365.0,23
WEEKDAY,CC17,4440.0,4220.0,23
WEEKDAY,CC19,7363.0,8019.0,23
WEEKDAY,CC2,5278.0,5695.0,23
WEEKDAY,CC20,5956.0,5933.0,23
WEEKDAY,CC21,8988.0,9693.0,23
WEEKDAY,CC23,17614.0,17477.0,23
WEEKDAY,CC24,22180.0,21971.0,23
WEEKDAY,CC25,7940.0,7391.0,23
WEEKDAY,CC26,6128.0,6229.0,23
WEEKDAY,CC27,8718.0,8711.0,23
WEEKDAY,CC28,4088.0,4441.0,23
WEEKDAY,CC3,8060.0,7673.0,23
WEEKDAY,CC4-DT15,20422.0,20879.0,23
WEEKDAY,CC5,5323.0,5550.0,23
WEEKDAY,CC6,8101.0,8407.0,23
WEEKDAY,CC7,8085.0,8243.0,23
WEEKDAY,CC8,9164.0,7973.0,23
WEEKDAY,CE1,29466.0,28641.0,23
WEEKDAY,CG1,16234.0,16794.0,23
WEEKDAY,CG2,23378.0,22389.0,23
WEEKDAY,DT1,31516.0,31218.0,23
WEEKDAY,DT10,5862.0,4646.0,23
WEEKDAY,DT11,29550.0,33375.0,23
WEEKDAY,DT13,9623.0,9792.0,23
WEEKDAY,DT17,26963.0,27670.0,23
WEEKDAY,DT18,20679.0,22058.0,23
WEEKDAY,DT2,3263.0,2543.0,23
WEEKDAY,DT20,7753.0,8678.0,23
WEEKDAY,DT21,7520.0,7617.0,23
WEEKDAY,DT22,7043.0,7468.0,23
WEEKDAY,DT23,5123.0,5193.0,23
WEEKDAY,DT24,5604.0,5262.0,23
WEEKDAY,DT25,4150.0,4291.0,23
WEEKDAY,DT27,8404.0,8184.0,23
WEEKDAY,DT28,11554.0,10787.0,23
WEEKDAY,DT29,7511.0,6797.0,23
WEEKDAY,DT3,8179.0,7039.0,23
