,,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME
TIME_PER_HOUR,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
PT_CODE,DAY_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP10,WEEKDAY,0.0,193.7,546.5,732.5,441.9,280.4,236.1,205.0,209.6,212.9,158.9,148.3,147.8,188.5,204.0,157.6,101.5,84.7,52.1,23.0,0.0,18.8,77.9,184.5,162.4,160.8,139.3,159.1,173.7,215.8,211.4,219.6,256.3,366.7,596.2,515.3,320.8,255.2,202.8,111.7
BP10,WEEKENDS/HOLIDAY,0.0,94.8,162.9,188.4,226.4,257.0,282.6,270.6,259.0,217.7,190.3,164.7,164.6,193.4,176.9,150.2,96.0,87.0,60.2,27.0,0.0,14.1,45.4,84.9,141.6,185.6,180.0,176.0,189.1,202.1,203.8,207.0,207.2,230.8,256.9,252.2,219.0,202.6,194.9,110.1
BP11,WEEKDAY,0.0,202.3,614.4,864.4,515.6,325.1,227.2,197.3,203.0,202.6,164.4,141.7,149.2,191.4,213.5,146.4,95.7,74.0,43.5,17.9,0.0,12.0,62.2,171.2,104.1,108.3,93.2,116.1,143.1,170.5,164.4,177.5,221.2,345.0,577.5,523.9,327.0,274.2,210.9,99.9
BP11,WEEKENDS/HOLIDAY,0.0,80.7,157.9,203.8,245.0,270.7,286.3,275.2,266.0,226.9,200.0,174.6,178.2,206.2,190.1,139.0,93.2,73.4,47.7,23.1,0.0,4.8,21.0,55.3,82.7,113.3,134.2,157.0,183.7,181.2,174.9,181.8,173.7,229.0,250.4,240.1,229.6,212.4,199.0,98.1
BP12,WEEKDAY,0.0,116.3,400.5,687.6,462.5,273.9,223.5,164.2,245.5,205.8,195.4,138.0,157.5,213.3,184.5,117.8,71.4,47.7,29.6,9.5,0.0,4.4,117.2,452.5,127.5,96.4,105.4,99.2,125.0,174.0,135.1,136.5,172.6,239.9,406.3,390.0,236.4,198.6,169.7,85.1
BP12,WEEKENDS/HOLIDAY,0.0,55.6,102.8,157.8,198.9,203.9,215.6,202.6,203.4,171.6,140.8,120.9,127.7,135.8,152.8,108.6,58.2,50.1,36.4,11.3,0.0,3.8,18.0,76.3,116.1,100.2,128.9,140.7,141.9,135.9,131.6,126.6,131.3,141.7,149.6,172.3,156.1,158.8,143.6,71.9
BP13,WEEKDAY,0.0,88.5,271.4,340.8,232.5,157.5,112.8,96.9,99.9,99.3,80.3,66.1,68.6,103.8,101.6,74.7,40.2,42.4,18.5,3.6,0.0,9.1,31.3,75.8,52.1,52.0,54.1,63.0,80.0,105.3,98.7,95.8,114.7,153.8,239.4,220.6,142.4,123.5,102.2,42.4
BP13,WEEKENDS/HOLIDAY,0.0,38.1,81.6,106.2,142.0,166.7,147.8,134.9,133.3,111.4,96.0,96.9,103.2,107.4,105.2,68.6,39.7,35.1,19.4,6.2,0.0,4.2,12.7,48.6,63.8,74.3,82.1,107.1,103.9,109.8,118.1,100.1,104.3,103.6,101.9,112.0,110.1,92.0,89.6,39.0
BP2,WEEKDAY,0.0,128.1,483.6,945.6,671.5,298.9,193.8,162.6,149.2,205.0,120.9,98.5,109.4,164.7,174.3,120.9,69.4,50.6,34.0,9.9,0.0,17.4,73.1,128.0,93.6,65.7,59.6,69.3,103.8,130.9,128.6,138.6,181.7,260.6,476.6,447.0,292.5,270.1,232.9,97.7
BP2,WEEKENDS/HOLIDAY,0.0,50.8,131.8,182.0,233.6,240.8,241.2,216.9,215.7,206.7,171.7,157.4,168.8,187.6,158.6,121.2,69.2,48.3,45.4,12.9,0.0,7.7,24.4,42.0,61.7,79.1,80.0,104.4,111.7,144.0,147.3,143.7,148.0,167.1,190.6,195.2,190.3,202.7,194.6,85.7
BP3,WEEKDAY,0.0,153.1,652.0,1121.2,702.5,319.6,231.6,204.6,201.2,191.4,154.2,143.7,175.6,248.9,221.7,170.0,101.9,82.3,62.2,18.8,0.0,7.4,60.1,131.4,112.9,97.9,92.6,108.8,127.9,188.4,217.7,197.7,234.6,395.0,683.4,636.5,382.7,317.0,263.8,109.7
BP3,WEEKENDS/HOLIDAY,0.0,73.3,162.2,211.4,290.2,296.7,307.1,294.9,275.4,266.9,216.0,197.1,210.7,227.7,212.2,154.4,100.7,81.7,62.1,22.0,0.0,4.7,25.0,49.7,77.3,81.1,105.7,128.3,157.9,197.6,208.3,197.4,205.8,248.0,259.8,279.7,256.9,258.0,237.7,100.8
BP4,WEEKDAY,0.0,60.1,237.5,389.0,260.0,140.5,125.1,301.0,354.9,215.4,304.8,464.5,716.3,654.5,247.1,147.1,132.2,149.6,63.4,12.6,0.0,14.2,54.6,424.9,874.7,725.3,335.4,145.2,274.0,264.8,142.7,122.6,136.8,199.2,321.9,273.3,162.3,150.9,121.5,53.4
BP4,WEEKENDS/HOLIDAY,0.0,30.3,74.3,96.0,113.2,124.0,122.9,132.7,127.7,109.6,100.2,84.8,93.1,98.3,94.8,76.3,56.9,38.7,32.4,9.3,0.0,8.0,19.4,42.6,70.9,66.3,52.0,62.0,76.2,88.9,92.4,89.8,90.1,119.1,106.3,115.2,108.9,117.6,100.2,53.9
BP5,WEEKDAY,0.0,46.6,233.2,383.5,230.1,137.7,110.3,105.5,130.3,128.7,103.7,107.2,126.0,202.7,214.5,147.2,90.7,84.9,69.0,23.3,0.5,18.6,80.8,157.0,127.1,87.8,68.2,65.9,85.0,102.3,105.4,91.7,108.9,155.0,227.7,187.4,123.8,115.0,82.7,35.0
BP5,WEEKENDS/HOLIDAY,0.0,29.1,50.8,80.3,107.7,134.3,135.7,152.1,155.8,143.2,126.2,118.6,114.8,134.6,133.2,101.1,81.2,74.8,60.2,24.7,0.0,10.8,27.8,52.4,68.3,72.0,90.6,100.2,103.8,98.2,97.2,89.0,88.0,92.9,106.6,108.7,94.1,102.7,72.2,37.6
BP6,WEEKDAY,0.0,27.9,259.7,539.1,460.4,328.9,293.1,340.8,500.7,582.7,582.3,584.2,734.2,1073.4,1922.8,1900.3,1151.0,979.2,795.2,267.7,1.5,503.8,1281.0,2787.3,2276.6,1097.3,780.0,720.6,766.6,745.7,659.5,623.6,647.6,882.2,1079.8,703.4,383.0,284.1,183.7,74.0
BP6,WEEKENDS/HOLIDAY,0.0,19.8,66.9,164.8,235.9,273.0,351.6,444.1,556.3,665.3,667.6,652.4,680.4,748.4,840.6,895.2,838.3,842.6,733.0,255.1,0.2,203.8,397.6,590.6,764.9,896.2,936.4,956.1,936.8,886.6,796.0,707.3,681.8,791.0,763.3,590.7,369.0,255.9,198.2,81.1
BP7,WEEKDAY,0.0,80.5,243.4,335.9,206.3,123.7,90.2,82.4,87.5,86.8,66.8,59.7,67.9,87.9,93.5,71.6,48.7,34.2,25.8,7.2,0.0,23.7,39.5,75.3,47.2,53.3,61.5,58.4,72.9,98.2,95.5,90.0,103.5,138.5,216.7,170.6,113.5,108.0,88.0,36.1
BP7,WEEKENDS/HOLIDAY,0.0,37.8,56.8,79.9,97.1,109.9,118.2,102.4,100.9,100.4,79.3,77.9,74.4,88.2,70.2,63.6,43.8,36.7,27.4,11.0,0.0,11.6,14.7,25.8,45.4,62.0,68.2,85.7,83.3,92.1,86.0,75.3,88.1,81.1,81.8,90.8,87.0,80.6,75.7,31.8
BP8,WEEKDAY,0.0,100.3,295.7,383.6,203.2,132.9,112.5,120.6,126.0,164.5,118.0,122.2,155.1,225.2,287.4,224.8,151.6,141.2,118.0,34.9,0.2,52.6,206.1,342.9,253.0,150.3,117.6,109.7,123.4,151.7,138.9,120.2,134.6,191.8,281.6,230.3,143.6,133.7,103.3,47.6
