DAY_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
WEEKDAY,BP10,3236.5999999999995,3499.999999999999
WEEKDAY,BP11,3471.7999999999997,2849.4999999999995
WEEKDAY,BP12,2871.9,2192.8
WEEKDAY,BP13,1461.3000000000002,981.9
WEEKDAY,BP2,3324.2,2617.7000000000003
WEEKDAY,BP3,4189.800000000001,3578.9999999999995
WEEKDAY,BP4,3764.1999999999994,3599.8999999999996
WEEKDAY,BP5,2099.6000000000004,1649.0000000000002
WEEKDAY,BP6,10304.0,13079.2
WEEKDAY,BP7,1165.4,1175.8000000000002
WEEKDAY,BP8,2158.6,1971.9
WEEKDAY,BP9,2420.8,2314.5
WEEKDAY,CC1-NE6-NS24,25385.499999999996,23924.999999999996
WEEKDAY,CC10,14014.400000000001,13335.200000000004
WEEKDAY,CC11,15840.3,16112.399999999996
WEEKDAY,CC12,5293.0,4520.500000000001
WEEKDAY,CC14,6585.099999999999,6121.5
WEEKDAY,CC16,9579.099999999999,9209.3
WEEKDAY,CC17,3702.6999999999994,3548.2000000000007
WEEKDAY,CC19,5351.3,5785.2
WEEKDAY,CC2,4241.8,4689.5
WEEKDAY,CC20,4408.099999999999,4394.9
WEEKDAY,CC21,6741.3,7326.899999999998
WEEKDAY,CC23,11533.599999999999,11247.4
WEEKDAY,CC24,16824.7,16792.100000000002
WEEKDAY,CC25,5906.299999999999,5433.6
WEEKDAY,CC26,4937.500000000001,5068.4
WEEKDAY,CC27,5283.200000000001,5487.999999999999
WEEKDAY,CC28,3237.2999999999997,3284.6000000000004
WEEKDAY,CC3,4408.1,4190.4
WEEKDAY,CC4-DT15,11957.199999999999,12322.3
WEEKDAY,CC5,3508.1,3596.0999999999995
WEEKDAY,CC6,5898.400000000001,6158.4
WEEKDAY,CC7,6162.099999999999,6221.0
WEEKDAY,CC8,6851.000000000001,6047.8
WEEKDAY,CE1,14419.099999999999,14821.500000000002
WEEKDAY,CG1,10738.7,11218.199999999999
WEEKDAY,CG2,10678.000000000002,9951.199999999999
WEEKDAY,DT1,24796.1,23990.600000000002
WEEKDAY,DT10,4379.200000000001,3451.1
WEEKDAY,DT11,22384.4,22958.699999999997
WEEKDAY,DT13,7582.8,8017.000000000001
WEEKDAY,DT17,14260.199999999999,14432.000000000002
WEEKDAY,DT18,12946.499999999998,13965.5
WEEKDAY,DT2,2690.6000000000004,1911.7999999999995
WEEKDAY,DT20,4823.900000000001,5297.600000000001
WEEKDAY,DT21,5483.1,5543.9
WEEKDAY,DT22,5197.100000000001,5470.2
WEEKDAY,DT23,3605.8999999999996,3619.6
WEEKDAY,DT24,4541.6,4343.3
WEEKDAY,DT25,3514.0,3682.1999999999994
WEEKDAY,DT27,7136.099999999999,7028.0999999999985
WEEKDAY,DT28,9498.5,8957.3
WEEKDAY,DT29,6274.8,5673.699999999999
WEEKDAY,DT3,6037.4,5342.6
WEEKDAY,DT30,6178.9,5909.9
WEEKDAY,DT31,6546.9000000000015,7018.4
WEEKDAY,DT32,17322.5,18552.6
WEEKDAY,DT33,15280.699999999999,14304.900000000001
WEEKDAY,DT34,3928.6,3542.2000000000003
WEEKDAY,DT5,10126.599999999999,10369.300000000001
WEEKDAY,DT6,5203.100000000001,4728.1
WEEKDAY,DT7,3336.6000000000004,3904.3999999999996
WEEKDAY,DT8,4140.500000000001,3813.5999999999995
WEEKDAY,EW1,26307.699999999993,24890.3
WEEKDAY,EW10,9119.600000000002,9208.6
WEEKDAY,EW11,14978.7,15117.899999999998
WEEKDAY,EW12,36517.0,37736.9
WEEKDAY,EW13-NS25,28008.300000000003,29046.499999999993
WEEKDAY,EW14-NS26,40276.9,39600.69999999999
WEEKDAY,EW15,33911.8,35539.50000000001
WEEKDAY,EW16,24246.399999999998,23334.599999999995
WEEKDAY,EW17,22985.399999999998,23926.499999999996
WEEKDAY,EW18,14860.199999999999,15360.2
WEEKDAY,EW19,12123.5,11241.699999999999
WEEKDAY,EW2,26572.0,27331.300000000003
WEEKDAY,EW20,13203.800000000003,12685.699999999999
WEEKDAY,EW21,21569.2,20078.2
WEEKDAY,EW22,7261.700000000001,7342.8
WEEKDAY,EW23,37240.6,38172.3
WEEKDAY,EW24-NS1,63803.0,67083.4
WEEKDAY,EW25,7773.400000000001,6642.799999999999
WEEKDAY,EW26,29159.899999999994,25512.1
WEEKDAY,EW27,41011.1,46925.200000000004
WEEKDAY,EW28,27138.0,20770.0
WEEKDAY,EW29,16370.4,16893.2
WEEKDAY,EW3,14593.1,14655.599999999997
WEEKDAY,EW30,3570.7,3154.0
WEEKDAY,EW31,4012.1000000000004,3325.4
WEEKDAY,EW32,3714.2999999999993,3720.4000000000005
WEEKDAY,EW33,2885.7,2999.8999999999996
WEEKDAY,EW4,13867.700000000003,12367.1
WEEKDAY,EW5,28136.300000000003,27954.0
WEEKDAY,EW6,8645.2,10199.3
WEEKDAY,EW7,11946.3,13954.9
WEEKDAY,EW8,35223.0,36001.200000000004
WEEKDAY,EW9,17295.199999999997,16837.0
WEEKDAY,NE1,28037.6,28577.600000000002
WEEKDAY,NE10,12291.199999999999,12601.3
WEEKDAY,NE11,5094.5,4685.700000000001
WEEKDAY,NE12,45987.39999999999,47817.399999999994
WEEKDAY,NE13,16819.3,17037.9
WEEKDAY,NE14,26653.1,25773.8
WEEKDAY,NE15,13831.699999999999,13007.299999999997
WEEKDAY,NE16-STC,35478.399999999994,36836.2
WEEKDAY,NE17-PTC,31063.0,30005.999999999996
WEEKDAY,NE4,33186.899999999994,32960.00000000001
WEEKDAY,NE5,10423.8,11193.2
WEEKDAY,NE7,20298.0,21023.8
WEEKDAY,NE8,17807.2,19860.3
WEEKDAY,NE9,19067.699999999997,17000.9
WEEKDAY,NS10,42553.4,36651.9
WEEKDAY,NS11,35532.6,35722.09999999999
WEEKDAY,NS13,45475.1,47985.399999999994
WEEKDAY,NS14,28704.2,25295.300000000003
WEEKDAY,NS15,21997.0,20678.3
WEEKDAY,NS16,42674.1,46513.799999999996
WEEKDAY,NS17,39478.3,37582.29999999998
WEEKDAY,NS18,13382.399999999998,12002.2
WEEKDAY,NS19,32151.3,33949.9
WEEKDAY,NS2,23364.0,24631.499999999996
WEEKDAY,NS20,31441.899999999998,31237.0
WEEKDAY,NS21,24133.1,25013.199999999997
WEEKDAY,NS22,36238.9,39417.9
WEEKDAY,NS23,22197.9,24284.2
WEEKDAY,NS27,3923.3,3693.499999999999
WEEKDAY,NS28,1097.6,987.1999999999999
WEEKDAY,NS3,16755.800000000003,15948.999999999998
WEEKDAY,NS4,33228.299999999996,36277.2
WEEKDAY,NS5,27684.3,26305.000000000004
WEEKDAY,NS7,14297.800000000001,13261.800000000001
WEEKDAY,NS8,21299.600000000002,16582.6
WEEKDAY,NS9,31827.699999999993,41536.70000000001
WEEKDAY,PE1,2898.8,2860.9
WEEKDAY,PE2,4521.9,4234.0
WEEKDAY,PE3,4678.4,4754.900000000001
WEEKDAY,PE4,1262.5,1208.9999999999998
WEEKDAY,PE5,4497.2,4237.9
WEEKDAY,PE6,5229.800000000001,5060.599999999999
WEEKDAY,PE7,3407.9,3263.3
WEEKDAY,PW1,478.9999999999999,516.3
