DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
WEEKDAY,BP10,BP11,70.8
WEEKDAY,BP10,BP12,102.39999999999996
WEEKDAY,BP10,BP13,72.7
WEEKDAY,BP10,BP2,32.89999999999999
WEEKDAY,BP10,BP3,52.699999999999996
WEEKDAY,BP10,BP4,56.800000000000004
WEEKDAY,BP10,BP5,87.2
WEEKDAY,BP10,BP7,56.6
WEEKDAY,BP10,BP8,162.5
WEEKDAY,BP10,BP9,72.5
WEEKDAY,BP10,CC22/EW21,4.199999999999999
WEEKDAY,BP10,CC23,0.2
WEEKDAY,BP10,CC24,0.5
WEEKDAY,BP10,DT1/PB6,668.5
WEEKDAY,BP10,EW11,0.30000000000000004
WEEKDAY,BP10,EW12/DT14,0.1
WEEKDAY,BP10,EW14/NS26,1.2000000000000002
WEEKDAY,BP10,EW15,0.1
WEEKDAY,BP10,EW16/NE3,0.1
WEEKDAY,BP10,EW17,0.6000000000000001
WEEKDAY,BP10,EW18,3.5000000000000004
WEEKDAY,BP10,EW19,5.499999999999999
WEEKDAY,BP10,EW2/DT32,0.1
WEEKDAY,BP10,EW20,7.300000000000001
WEEKDAY,BP10,EW22,5.6
WEEKDAY,BP10,EW23,24.099999999999998
WEEKDAY,BP10,EW24/NS1,128.5
WEEKDAY,BP10,EW25,0.6
WEEKDAY,BP10,EW26,8.6
WEEKDAY,BP10,EW27,37.5
WEEKDAY,BP10,EW28,9.6
WEEKDAY,BP10,EW29,24.5
WEEKDAY,BP10,EW30,10.6
WEEKDAY,BP10,EW31,5.1
WEEKDAY,BP10,EW32,5.0
WEEKDAY,BP10,EW33,1.1
WEEKDAY,BP10,EW8/CC9,0.1
WEEKDAY,BP10,EW9,0.1
WEEKDAY,BP10,NS10,12.3
WEEKDAY,BP10,NS11,10.000000000000002
WEEKDAY,BP10,NS12,1.5
WEEKDAY,BP10,NS13,12.299999999999999
WEEKDAY,BP10,NS14,4.6
WEEKDAY,BP10,NS15,12.399999999999999
WEEKDAY,BP10,NS16,7.0
WEEKDAY,BP10,NS17/CC15,0.2
WEEKDAY,BP10,NS19,0.4
WEEKDAY,BP10,NS2,28.599999999999998
WEEKDAY,BP10,NS20,0.30000000000000004
WEEKDAY,BP10,NS21/DT11,0.2
WEEKDAY,BP10,NS3,15.8
WEEKDAY,BP10,NS4/BP1,163.00000000000003
WEEKDAY,BP10,NS5,40.300000000000004
WEEKDAY,BP10,NS7,10.600000000000001
WEEKDAY,BP10,NS8,6.6
WEEKDAY,BP10,NS9/TE2,21.0
WEEKDAY,BP10,TE3,0.5
WEEKDAY,BP11,BP10,34.0
WEEKDAY,BP11,BP12,41.60000000000001
WEEKDAY,BP11,BP13,44.099999999999994
WEEKDAY,BP11,BP2,32.6
WEEKDAY,BP11,BP3,50.800000000000004
WEEKDAY,BP11,BP4,57.099999999999994
