DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
WEEKDAY,BP10,BP11,71.0
WEEKDAY,BP10,BP12,102.0
WEEKDAY,BP10,BP13,73.0
WEEKDAY,BP10,BP2,33.0
WEEKDAY,BP10,BP3,53.0
WEEKDAY,BP10,BP4,57.0
WEEKDAY,BP10,BP5,87.0
WEEKDAY,BP10,BP7,57.0
WEEKDAY,BP10,BP8,162.0
WEEKDAY,BP10,BP9,73.0
WEEKDAY,BP10,CC22/EW21,4.0
WEEKDAY,BP10,CC24,1.0
WEEKDAY,BP10,DT1/PB6,669.0
WEEKDAY,BP10,EW14/NS26,1.0
WEEKDAY,BP10,EW17,1.0
WEEKDAY,BP10,EW18,4.0
WEEKDAY,BP10,EW19,6.0
WEEKDAY,BP10,EW20,8.0
WEEKDAY,BP10,EW22,6.0
WEEKDAY,BP10,EW23,24.0
WEEKDAY,BP10,EW24/NS1,128.0
WEEKDAY,BP10,EW25,1.0
WEEKDAY,BP10,EW26,9.0
WEEKDAY,BP10,EW27,37.0
WEEKDAY,BP10,EW28,10.0
WEEKDAY,BP10,EW29,25.0
WEEKDAY,BP10,EW30,10.0
WEEKDAY,BP10,EW31,5.0
WEEKDAY,BP10,EW32,5.0
WEEKDAY,BP10,EW33,1.0
WEEKDAY,BP10,NS10,12.0
WEEKDAY,BP10,NS11,10.0
WEEKDAY,BP10,NS12,2.0
WEEKDAY,BP10,NS13,12.0
WEEKDAY,BP10,NS14,5.0
WEEKDAY,BP10,NS15,13.0
WEEKDAY,BP10,NS16,7.0
WEEKDAY,BP10,NS19,1.0
WEEKDAY,BP10,NS2,29.0
WEEKDAY,BP10,NS3,16.0
WEEKDAY,BP10,NS4/BP1,163.0
WEEKDAY,BP10,NS5,40.0
WEEKDAY,BP10,NS7,11.0
WEEKDAY,BP10,NS8,7.0
WEEKDAY,BP10,NS9/TE2,21.0
WEEKDAY,BP10,TE3,1.0
WEEKDAY,BP11,BP10,34.0
WEEKDAY,BP11,BP12,42.0
WEEKDAY,BP11,BP13,44.0
WEEKDAY,BP11,BP2,33.0
WEEKDAY,BP11,BP3,51.0
WEEKDAY,BP11,BP4,57.0
WEEKDAY,BP11,BP5,91.0
WEEKDAY,BP11,BP7,34.0
WEEKDAY,BP11,BP8,89.0
WEEKDAY,BP11,BP9,67.0
WEEKDAY,BP11,CC22/EW21,4.0
WEEKDAY,BP11,CC24,1.0
WEEKDAY,BP11,DT1/PB6,769.0
WEEKDAY,BP11,EW14/NS26,1.0
WEEKDAY,BP11,EW15,3.0
WEEKDAY,BP11,EW17,3.0
WEEKDAY,BP11,EW18,8.0
WEEKDAY,BP11,EW19,8.0
WEEKDAY,BP11,EW20,7.0
WEEKDAY,BP11,EW22,11.0
WEEKDAY,BP11,EW23,45.0
WEEKDAY,BP11,EW24/NS1,153.0
WEEKDAY,BP11,EW25,2.0
WEEKDAY,BP11,EW26,20.0
WEEKDAY,BP11,EW27,46.0
WEEKDAY,BP11,EW28,12.0
WEEKDAY,BP11,EW29,31.0
WEEKDAY,BP11,EW30,7.0
WEEKDAY,BP11,EW31,6.0
WEEKDAY,BP11,EW32,7.0
WEEKDAY,BP11,EW33,3.0
WEEKDAY,BP11,NS10,23.0
WEEKDAY,BP11,NS11,14.0
WEEKDAY,BP11,NS12,2.0
WEEKDAY,BP11,NS13,13.0
WEEKDAY,BP11,NS14,6.0
WEEKDAY,BP11,NS15,14.0
WEEKDAY,BP11,NS16,7.0
WEEKDAY,BP11,NS19,2.0
WEEKDAY,BP11,NS2,36.0
WEEKDAY,BP11,NS3,24.0
WEEKDAY,BP11,NS4/BP1,184.0
WEEKDAY,BP11,NS5,31.0
WEEKDAY,BP11,NS7,15.0
WEEKDAY,BP11,NS8,10.0
WEEKDAY,BP11,NS9/TE2,31.0
WEEKDAY,BP11,TE1,2.0
WEEKDAY,BP11,TE3,2.0
WEEKDAY,BP12,BP10,37.0
WEEKDAY,BP12,BP11,14.0
WEEKDAY,BP12,BP13,36.0
WEEKDAY,BP12,BP2,37.0
WEEKDAY,BP12,BP3,60.0
WEEKDAY,BP12,BP4,41.0
WEEKDAY,BP12,BP5,71.0
WEEKDAY,BP12,BP7,19.0
WEEKDAY,BP12,BP8,54.0
WEEKDAY,BP12,BP9,53.0
WEEKDAY,BP12,CC22/EW21,4.0
WEEKDAY,BP12,DT1/PB6,699.0
WEEKDAY,BP12,EW16/NE3,1.0
WEEKDAY,BP12,EW17,2.0
WEEKDAY,BP12,EW18,6.0
WEEKDAY,BP12,EW19,4.0
WEEKDAY,BP12,EW20,7.0
WEEKDAY,BP12,EW22,5.0
WEEKDAY,BP12,EW23,20.0
WEEKDAY,BP12,EW24/NS1,107.0
WEEKDAY,BP12,EW25,2.0
WEEKDAY,BP12,EW26,14.0
