,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
ORIGIN_PT_CODE,DESTINATION_PT_CODE,DAY_TYPE,,,,,,,,,,,,,,,,,,,,
BP10,BP11,WEEKDAY,,0.1,0.8,4.3,4.5,7.4,6.0,7.3,6.5,5.5,5.9,4.9,5.5,5.9,7.6,6.3,4.8,1.8,1.1,0.8
BP10,BP11,WEEKENDS/HOLIDAY,,,0.1,1.8,4.9,5.9,9.4,9.8,7.6,9.4,7.2,5.2,7.2,6.1,4.4,3.1,3.6,2.4,2.9,0.4
BP10,BP12,WEEKDAY,,0.2,11.3,23.4,8.3,9.5,10.9,8.6,5.8,5.8,4.3,3.8,3.6,7.3,7.6,7.1,4.3,2.6,1.8,0.9
BP10,BP12,WEEKENDS/HOLIDAY,,,1.5,3.0,8.1,8.4,10.0,13.1,8.8,5.8,5.0,3.4,4.1,4.5,5.9,3.6,4.9,2.8,1.6,0.6
BP10,BP13,WEEKDAY,,1.5,2.8,6.6,7.1,7.1,8.0,6.2,5.9,5.4,1.8,2.8,4.6,5.3,6.6,4.0,3.6,1.3,2.1,1.1
BP10,BP13,WEEKENDS/HOLIDAY,,0.6,2.1,4.6,6.5,8.5,10.8,7.9,8.8,7.2,3.6,4.1,5.6,5.8,5.4,4.2,2.8,1.4,1.5,0.5
BP10,BP2,WEEKDAY,,1.0,2.8,2.2,0.8,1.0,1.5,1.8,2.4,2.3,2.0,3.0,2.5,3.3,4.1,2.1,3.2,4.6,3.6,1.2
BP10,BP2,WEEKENDS/HOLIDAY,,0.5,1.0,1.4,0.9,2.2,1.6,2.4,3.5,3.2,2.1,2.2,2.0,2.0,1.6,2.0,2.9,2.9,3.5,1.1
BP10,BP3,WEEKDAY,,1.0,6.9,7.1,2.9,2.6,2.6,2.4,3.0,7.2,4.5,3.5,3.0,4.4,5.0,3.5,3.2,2.4,2.0,0.4
BP10,BP3,WEEKENDS/HOLIDAY,,,2.0,1.8,1.4,2.5,4.1,1.9,3.2,2.1,3.9,1.9,2.4,3.9,3.1,4.2,2.6,1.0,2.5,0.5
