,,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME
month,,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107
DAY_TYPE,PT_CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEEKDAY,BP10,4626.0,4641.0,4493.0,4535.0,4370.0,4179.0,4673.0,4527.0,4513.0,4544.0,4545.0,4117.0,4489.0,4414.0,4279.0,4325.0,4018.0,3379.0,3814.0,3513.0,3236.0,1532.0,1246.0,2107.0,2643.0,2683.0,2817.0,2900.0,2878.0,2845.0,3176.0,3198.0,3101.0,3109.0,2569.0,2294.0,2730.0,4673.0,4693.0,4555.0,4639.0,4453.0,4180.0,4756.0,4589.0,4498.0,4466.0,4535.0,4078.0,4480.0,4440.0,4260.0,4348.0,3990.0,3634.0,4153.0,3838.0,3500.0,1669.0,1367.0,2289.0,0.0,2899.0,3062.0,3100.0,3116.0,3077.0,3430.0,3475.0,3304.0,3333.0,2770.0,2483.0,2938.0
WEEKDAY,BP11,4931.0,4945.0,4821.0,4946.0,4759.0,4507.0,5042.0,4897.0,4861.0,4936.0,4883.0,4440.0,4837.0,4641.0,4508.0,4590.0,4186.0,3599.0,4007.0,3807.0,3472.0,1524.0,1204.0,2132.0,2731.0,2855.0,3008.0,3080.0,3020.0,2995.0,3345.0,3309.0,3294.0,3343.0,2671.0,2332.0,2863.0,4332.0,4309.0,4166.0,4264.0,4091.0,3733.0,4362.0,4190.0,4056.0,4186.0,4130.0,3718.0,4064.0,3983.0,3852.0,3902.0,3560.0,2884.0,3321.0,3154.0,2850.0,1300.0,1040.0,1819.0,0.0,2390.0,2457.0,2491.0,2480.0,2375.0,2724.0,2705.0,2668.0,2754.0,2219.0,1953.0,2417.0
WEEKDAY,BP12,4500.0,4494.0,4340.0,4426.0,3731.0,3434.0,4539.0,4440.0,4284.0,4424.0,4463.0,3425.0,4306.0,4169.0,3891.0,3944.0,3338.0,2688.0,3478.0,3277.0,2872.0,1079.0,780.0,1727.0,2213.0,2389.0,2411.0,2435.0,2208.0,2114.0,2793.0,2747.0,2700.0,2802.0,2050.0,1627.0,2335.0,4089.0,4062.0,3915.0,4008.0,3408.0,3018.0,4030.0,3906.0,3741.0,3819.0,3867.0,2969.0,3702.0,3662.0,3358.0,3472.0,2938.0,2074.0,2714.0,2544.0,2193.0,871.0,661.0,1438.0,0.0,1934.0,1887.0,1865.0,1604.0,1520.0,2175.0,2127.0,2028.0,2141.0,1572.0,1269.0,1845.0
WEEKDAY,BP13,2434.0,2419.0,2367.0,2367.0,2262.0,2119.0,2354.0,2298.0,2252.0,2312.0,2280.0,2037.0,2227.0,2123.0,2059.0,2099.0,1920.0,1626.0,1759.0,1634.0,1461.0,678.0,556.0,951.0,1195.0,1246.0,1309.0,1315.0,1280.0,1277.0,1433.0,1434.0,1428.0,1435.0,1135.0,1022.0,1247.0,2187.0,2158.0,2116.0,2128.0,1997.0,1824.0,2116.0,1986.0,1957.0,1996.0,2001.0,1722.0,1921.0,1866.0,1792.0,1856.0,1684.0,1088.0,1236.0,1109.0,982.0,473.0,405.0,673.0,0.0,862.0,865.0,879.0,844.0,801.0,963.0,982.0,927.0,978.0,776.0,693.0,866.0
WEEKDAY,BP14,71.0,76.0,66.0,77.0,110.0,102.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,69.0,58.0,60.0,81.0,84.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WEEKDAY,BP2,4367.0,4338.0,4306.0,4352.0,4116.0,3927.0,4571.0,4520.0,4474.0,4588.0,4557.0,4017.0,4540.0,4341.0,4144.0,4191.0,3794.0,3378.0,3908.0,3695.0,3324.0,1277.0,934.0,1852.0,2504.0,2610.0,2753.0,2812.0,2780.0,2787.0,3057.0,3030.0,2977.0,3013.0,2369.0,2048.0,2531.0,3588.0,3604.0,3558.0,3587.0,3444.0,3132.0,3656.0,3513.0,3390.0,3472.0,3491.0,3092.0,3442.0,3399.0,3235.0,3268.0,2921.0,2578.0,3041.0,2840.0,2618.0,1066.0,803.0,1538.0,0.0,2081.0,2191.0,2211.0,2191.0,2170.0,2373.0,2358.0,2274.0,2339.0,1865.0,1668.0,2025.0
WEEKDAY,BP3,5090.0,5228.0,5150.0,5275.0,5120.0,4920.0,5510.0,5402.0,5372.0,5456.0,5462.0,4961.0,5422.0,5296.0,5091.0,5157.0,4765.0,4399.0,4821.0,4544.0,4190.0,1731.0,1337.0,2459.0,3162.0,3310.0,3493.0,3588.0,3589.0,3553.0,3872.0,3873.0,3798.0,3771.0,2980.0,2608.0,3119.0,4333.0,4440.0,4385.0,4523.0,4408.0,4105.0,4686.0,4518.0,4437.0,4476.0,4564.0,4104.0,4507.0,4475.0,4325.0,4366.0,3991.0,3622.0,4184.0,3912.0,3579.0,1477.0,1149.0,2132.0,0.0,2844.0,2998.0,3046.0,2995.0,2959.0,3339.0,3308.0,3188.0,3247.0,2518.0,2228.0,2743.0
WEEKDAY,BP4,5070.0,5464.0,3546.0,5308.0,4693.0,2609.0,5678.0,5790.0,4016.0,6049.0,5612.0,2649.0,4961.0,5310.0,3247.0,4976.0,4393.0,2226.0,4485.0,5459.0,3764.0,1002.0,675.0,2501.0,2323.0,3300.0,2990.0,2965.0,3514.0,2443.0,3507.0,4093.0,2999.0,3337.0,3029.0,2041.0,2614.0,4832.0,5236.0,3308.0,5166.0,4502.0,2391.0,5460.0,5600.0,3741.0,5746.0,5270.0,2409.0,4675.0,5117.0,3013.0,4798.0,4158.0,2025.0,4416.0,5296.0,3600.0,939.0,634.0,2368.0,0.0,3177.0,2883.0,2830.0,3406.0,2272.0,3391.0,4039.0,2856.0,3224.0,2916.0,1923.0,2479.0
